Authors,Title,Abstract,Document Type,Year,Link,Source title,Round 3 ID,Included/Excluded,Reason,Notes
Ramadan T.; Islam T.Z.; Phelps C.; Pinnow N.; Thiagarajan J.J.,Comparative Code Structure Analysis using Deep Learning for Performance Prediction,"Performance analysis has always been an afterthought during the application development process, focusing on application correctness first. The learning curve of the existing static and dynamic analysis tools are steep, which requires understanding low-level details to interpret the findings for actionable optimizations. Additionally, application performance is a function of a number of unknowns stemming from the application-, runtime-, and interactions between the OS and underlying hardware, making it difficult to model using any deep learning technique, especially without a large labeled dataset. In this paper, we address both of these problems by presenting a large corpus of a labeled dataset for the community and take a comparative analysis approach to mitigate all unknowns except their source code differences between different correct implementations of the same problem. We put the power of deep learning to the test for automatically extracting information from the hierarchical structure of abstract syntax trees to represent source code. This paper aims to assess the feasibility of using purely static information (e.g., abstract syntax tree or AST) of applications to predict performance change based on the change in code structure. This research will enable performance-aware application development since every version of the application will continue to contribute to the corpora, which will enhance the performance of the model. We evaluate several deep learning-based representation learning techniques for source code. Our results show that tree-based Long Short-Term Memory (LSTM) models can leverage source code's hierarchical structure to discover latent representations. Specifically, LSTM-based predictive models built using a single problem and a combination of multiple problems can correctly predict if a source code will perform better or worse up to 84% and 73% of the time, respectively.  © 2021 IEEE.",Conference paper,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105381706&doi=10.1109%2fISPASS51385.2021.00032&partnerID=40&md5=63fe68357a1b32bc8ca94c6f9bdb3311,"Proceedings - 2021 IEEE International Symposium on Performance Analysis of Systems and Software, ISPASS 2021",30,Include,I1.1,
Romanov V.,Evaluating importance of edge types when using graph neural network for predicting return types of Python functions,"The static prediction of types for dynamic programming languages is a challenging and important problem. Some success for Python was demonstrated by analyzing docstrings, still, a large portion of code comes without thorough documentation. To target this problem in this work we attempt to predict return type annotations for Python functions by looking at function usage patterns. We analyzed a collection of Python packages and created a graph that captures global relationships between source code elements such as imports, calls, and definitions. Moreover, we train embeddings for functions and evaluate how the performance of predicting return types is affected by removing one of the relationship types from the dataset.  © 2020 ACM.",Conference paper,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097709365&doi=10.1145%2f3426430.3428135&partnerID=40&md5=aaec256bd65fc3a29df25994889df992,"SPLASH Companion 2020 - Companion Proceedings of the 2020 ACM SIGPLAN International Conference on Systems, Programming, Languages, and Applications: Software for Humanity",31,Exclude,I1.1,"Doesn't really propose a new method, but evaluates some aspects. Might need to be excluded"
Wang W.; Li G.; Shen S.; Xia X.; Jin Z.,Modular Tree Network for Source Code Representation Learning,"Learning representation for source code is a foundation of many program analysis tasks. In recent years, neural networks have already shown success in this area, but most existing models did not make full use of the unique structural information of programs. Although abstract syntax tree (AST)-based neural models can handle the tree structure in the source code, they cannot capture the richness of different types of substructure in programs. In this article, we propose a modular tree network that dynamically composes different neural network units into tree structures based on the input AST. Different from previous tree-structural neural network models, a modular tree network can capture the semantic differences between types of AST substructures. We evaluate our model on two tasks: program classification and code clone detection. Our model achieves the best performance compared with state-of-the-art approaches in both tasks, showing the advantage of leveraging more elaborate structure information of the source code.  © 2020 ACM.",Article,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092714268&doi=10.1145%2f3409331&partnerID=40&md5=d905cdf7f3fff0be2096f74ffa0ca9ba,ACM Transactions on Software Engineering and Methodology,32,Include,I1.1,
Ye G.; Tang Z.; Wang H.; Fang D.; Fang J.; Huang S.; Wang Z.,Deep program structure modeling through multi-relational graph-based learning,"Deep learning is emerging as a promising technique for buildingpredictive models to support code-related tasks like performanceoptimization and code vulnerability detection. One of the criticalaspects of building a successful predictive model is having theright representation to characterize the model input for the giventask. Existing approaches in the area typically treat the programstructure as a sequential sequence but fail to capitalize on the richsemantics of data and control flow information, for which graphsare a proven representation structure.We present Poem1, a novel framework that automatically learnsuseful code representations from graph-based program structures.At the core of Poem is a graph neural network (GNN) that is specially designed for capturing the syntax and semantic informationfrom the program abstract syntax tree and the control and dataflow graph. As a departure from existing GNN-based code modeling techniques, our network simultaneously learns over multiplerelations of a program graph. This capability enables the learningframework to distinguish and reason about the diverse code relationships, be it a data or a control flow or any other relationshipsthat may be important for the downstream processing task.We apply Poem to four representative tasks that require a strongability to reason about the program structure: heterogeneous devicemapping, parallel thread coarsening, loop vectorization and codevulnerability detection. We evaluate Poem on programs written inOpenCL, C, Java and Swift, and compare it against nine learningbased methods. Experimental results show that Poem consistentlyoutperforms all competing methods across evaluation settings.  © 2020 Association for Computing Machinery.",Conference paper,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094208858&doi=10.1145%2f3410463.3414670&partnerID=40&md5=7e53d7f68569e46dadc23171ed2dae04,"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT",33,Include,"I1.1,I1.2",
Richter C.; Hüllermeier E.; Jakobs M.-C.; Wehrheim H.,Algorithm selection for software validation based on graph kernels,"Algorithm selection is the task of choosing an algorithm from a given set of candidate algorithms when faced with a particular problem instance. Algorithm selection via machine learning (ML) has recently been successfully applied for various problem classes, including computationally hard problems such as SAT. In this paper, we study algorithm selection for software validation, i.e., the task of choosing a software validation tool for a given validation instance. A validation instance consists of a program plus properties to be checked on it. The application of machine learning techniques to this task first of all requires an appropriate representation of software. To this end,we propose a dedicated kernel function, which compares two programs in terms of their similarity, thus making the algorithm selection task amenable to kernel-based machine learning methods. Our kernel operates on a graph representation of source code mixing elements of control-flow and program-dependence graphs with abstract syntax trees.Thus, given two such representations as input, the kernel function yields a real-valued score that can be interpreted as a degree of similarity. We experimentally evaluate our kernel in two learning scenarios, namely a classification and a ranking problem: (1) selecting between a verification and a testing tool for bug finding (i.e., property violation), and (2) ranking several verification tools,from presumably best to worst, for property proving. The evaluation, which is based on data sets from the annual software verification competition SV-COMP, demonstrates our kernel to generalize well and to achieve rather high prediction accuracy, both for the classification and the ranking task. © 2020, The Author(s).",Article,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083878337&doi=10.1007%2fs10515-020-00270-x&partnerID=40&md5=cf9df51fce68c365deb53d95201ca5b3,Automated Software Engineering,34,Include,I1.1,
Rodrigues G.E.D.P.; Braga A.M.; Dahab R.,Using Graph Embeddings and Machine Learning to Detect Cryptography Misuse in Source Code,"Cryptography is an essential aspect of software development. Nevertheless, software developers have limited knowledge of cryptography primitives, and support tools are limited. In this work, we present a comparison between graph embedding techniques, node2vec and Bag of Graphs, as embedding generators of source code graph representations. We combined these techniques with machine learning models in order to detect cryptography misuses in source codes. We show that Bag of Graphs outperforms node2vec in this task; also, both techniques outperform previously evaluated tools. © 2020 IEEE.",Conference paper,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102530771&doi=10.1109%2fICMLA51294.2020.00171&partnerID=40&md5=25e315d337ac391c396b4291e7741021,"Proceedings - 19th IEEE International Conference on Machine Learning and Applications, ICMLA 2020",35,Include,I1.1,
Wang Y.; Wang K.; Gao F.; Wang L.,Learning semantic program embeddings with graph interval neural network,"Learning distributed representations of source code has been a challenging task for machine learning models. Earlier works treated programs as text so that natural language methods can be readily applied. Unfortunately, such approaches do not capitalize on the rich structural information possessed by source code. Of late, Graph Neural Network (GNN) was proposed to learn embeddings of programs from their graph representations. Due to the homogeneous (i.e. do not take advantage of the program-specific graph characteristics) and expensive (i.e. require heavy information exchange among nodes in the graph) message-passing procedure, GNN can suffer from precision issues, especially when dealing with programs rendered into large graphs. In this paper, we present a new graph neural architecture, called Graph Interval Neural Network (GINN), to tackle the weaknesses of the existing GNN. Unlike the standard GNN, GINN generalizes from a curated graph representation obtained through an abstraction method designed to aid models to learn. In particular, GINN focuses exclusively on intervals (generally manifested in looping construct) for mining the feature representation of a program, furthermore, GINN operates on a hierarchy of intervals for scaling the learning to large graphs. We evaluate GINN for two popular downstream applications: variable misuse prediction and method name prediction. Results show in both cases GINN outperforms the state-of-the-art models by a comfortable margin. We have also created a neural bug detector based on GINN to catch null pointer deference bugs in Java code. While learning from the same 9,000 methods extracted from 64 projects, GINN-based bug detector significantly outperforms GNN-based bug detector on 13 unseen test projects. Next, we deploy our trained GINN-based bug detector and Facebook Infer, arguably the state-of-the-art static analysis tool, to scan the codebase of 20 highly starred projects on GitHub. Through our manual inspection, we confirm 38 bugs out of 102 warnings raised by GINN-based bug detector compared to 34 bugs out of 129 warnings for Facebook Infer. We have reported 38 bugs GINN caught to developers, among which 11 have been fixed and 12 have been confirmed (fix pending). GINN has shown to be a general, powerful deep neural network for learning precise, semantic program embeddings. © 2020 Owner/Author.",Article,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097576154&doi=10.1145%2f3428205&partnerID=40&md5=e25d55bad2a851b1147a5f865acc5153,Proceedings of the ACM on Programming Languages,36,Include,I1.1,Unclear what kind of model is used for the last task
Wang D.; Dong W.; Li S.,A multi-Task representation learning approach for source code,"Representation learning has shown impressive results for a multitude of tasks in software engineering. However, most researches still focus on a single problem. As a result, the learned representations cannot be applied to other problems and lack generalizability and interpretability. In this paper, we propose a Multi-Task learning approach for representation learning across multiple downstream tasks of software engineering. From the perspective of generalization, we build a shared sequence encoder with a pretrained BERT for the token sequence and a structure encoder with a Tree-LSTM for the abstract syntax tree of code. From the perspective of interpretability, we integrate attention mechanism to focus on different representations and set learnable parameters to adjust the relationship between tasks. We also present the early results of our model. The learning process analysis shows our model has a significant improvement over strong baselines.  © 2020 Owner/Author.",Conference paper,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096999195&doi=10.1145%2f3416506.3423575&partnerID=40&md5=90838a9e9cff8ebedea3fa270f9fc249,"RL+SE and PL 2020 - Proceedings of the 1st ACM SIGSOFT International Workshop on Representation Learning for Software Engineering and Program Languages, Co-located with ESEC/FSE 2020",37,Include,I1.1,
Wei J.; Goyal M.; Durrett G.; Dillig I.,LAMBDANET: PROBABILISTIC TYPE INFERENCE USING GRAPH NEURAL NETWORKS,"As gradual typing becomes increasingly popular in languages like Python and TypeScript, there is a growing need to infer type annotations automatically. While type annotations help with tasks like code completion and static error catching, these annotations cannot be fully determined by compilers and are tedious to annotate by hand. This paper proposes a probabilistic type inference scheme for TypeScript based on a graph neural network. Our approach first uses lightweight source code analysis to generate a program abstraction called a type dependency graph, which links type variables with logical constraints as well as name and usage information. Given this program abstraction, we then use a graph neural network to propagate information between related type variables and eventually make type predictions. Our neural architecture can predict both standard types, like number or string, as well as user-defined types that have not been encountered during training. Our experimental results show that our approach outperforms prior work in this space by 14% (absolute) on library types, while having the ability to make type predictions that are out of scope for existing techniques. © 2020 8th International Conference on Learning Representations, ICLR 2020. All rights reserved.",Conference paper,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136028933&partnerID=40&md5=def38a1ee95a887c65c0df9dc70d4a25,"8th International Conference on Learning Representations, ICLR 2020",38,Include,"I1.1,I1.2",Perhaps double check task granularity/description
Brauckmann A.; Goens A.; Ertel S.; Castrillon J.,Compiler-based graph representations for deep learning models of code,"In natural language processing, novel methods in deep learning, like recurrent neural networks (RNNs) on sequences of words, have been very successful. In contrast to natural languages, programming languages usually have a well-defined structure. With this structure compilers can reason about programs, using graphs such as abstract syntax trees (ASTs) or control-data flow graphs (CDFGs). In this paper, we argue that we should use these graph structures instead of sequences for learning compiler optimization tasks. To this end, we use graph neural networks (GNNs) for learning predictive compiler tasks on two representations based on ASTs and CDFGs. Experiments show that this improves upon the state-of-the-art in the task of heterogeneous OpenCL mapping, while providing orders of magnitude faster inference times, crucial for compiler optimizations. When testing on benchmark suites not included for training, our AST-based model significantly outperforms the state-of-the-art by over 12 percentage points in terms of accuracy. It is the only one to perform clearly better than a random mapping. On the task of predicting thread coarsening factors, we show that all of the methods fail to produce an overall speedup. © 2020 Association for Computing Machinery.",Conference paper,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082029510&doi=10.1145%2f3377555.3377894&partnerID=40&md5=2b6ac90a73bc967e9ed2e3c34a9e86df,CC 2020 - Proceedings of the 29th International Conference on Compiler Construction,39,Include,I1.1,
Takesue Y.; Mashima Y.; Takeuchi K.,Analysis and Visualization of Patterns in Answers to Programming Problems,"It is not an easy task for teachers to make students' answers for programming exercises. In scoring such a student program, the teacher needs to evaluate not only the degree of program achievement but also which way the program achieve the requirements. In order to solve such problems, we propose a supporting method to evaluate the program using 'prog2vec', which is software that converts a program into its feature vector representation. Specifically, our method estimates whether a programming problem needs certain ways to achieve its purpose or not. The input of the method is a set of the programs that are made as answer for the problem. If the method estimates that specific ways are needed to achieve the given problem, it also visualizes these programing ways in structural graph representation. In this way, our proposed method helps teachers that have a lot of and various answers for a programming problem to define evaluation criteria for those answers. © 2019 IEEE.",Conference paper,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080898612&doi=10.1109%2fIIAI-AAI.2019.00213&partnerID=40&md5=92bf16e1b0b4ede6627f6e51509299f3,"Proceedings - 2019 8th International Congress on Advanced Applied Informatics, IIAI-AAI 2019",40,Exclude,E2.1,
Chen L.; Ye W.; Zhang S.,Capturing Source Code Semantics via Tree-based Convolution over API-enhanced AST,"When deep learning meets big code, a key question is how to efficiently learn a distributed representation for source code that can capture its semantics effectively. We propose to use tree-based convolution over API-enhanced AST. To demonstrate the effectiveness of our approach, we apply it to detect semantic clones-code fragments with similar semantics but dissimilar syntax. Experiment results show that our approach outperforms an existing state-of-the-art approach that uses tree-based LSTM, with an increase of 0.39 and 0.12 in F1-score on OJClone and BigCloneBench respectively. We further propose architectures that incorporate our approach for code search and code summarization. © 2019 Association for Computing Machinery.",Conference paper,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066012156&doi=10.1145%2f3310273.3321560&partnerID=40&md5=f82f46e1227a2748179f7d71d5072443,"ACM International Conference on Computing Frontiers 2019, CF 2019 - Proceedings",41,Include,"I1.2,I1.1",
Azcona D.; Hsiao I.-H.; Arora P.; Smeaton A.,User2Code2vec: Embeddings for profiling students based on distributional representations of source code,"In this work, we propose a new methodology to profile individual students of computer science based on their programming design using a technique called embeddings. We investigate different approaches to analyze user source code submissions in the Python language. We compare the performances of different source code vectorization techniques to predict the correctness of a code submission. In addition, we propose a new mechanism to represent students based on their code submissions for a given set of laboratory tasks on a particular course. This way, we can make deeper recommendations for programming solutions and pathways to support student learning and progression in computer programming modules effectively at a Higher Education Institution. Recent work using Deep Learning tends to work better when more and more data is provided. However, in Learning Analytics, the number of students in a course is an unavoidable limit. Thus we cannot simply generate more data as is done in other domains such as FinTech or Social Network Analysis. Our findings indicate there is a need to learn and develop better mechanisms to extract and learn effective data features from students so as to analyze the students' progression and performance effectively. © 2019 Association for Computing Machinery.",Conference paper,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062775545&doi=10.1145%2f3303772.3303813&partnerID=40&md5=57afdeb344c75f39f57c3e0cf6dd2c24,ACM International Conference Proceeding Series,42,Include,,
Xia X.; Lo D.; Wang X.; Zhou B.,Build system analysis with link prediction,"Compilation is an important step in building working software system. To compile large systems, typically build systems, such as make, are used. In this paper, we investigate a new research problem for build configuration file (e.g., Makefile) analysis: how to predict missed dependencies in a build configuration file. We refer to this problem as dependency mining. Based on a Makefile, we build a dependency graph capturing various relationships defined in the Makefile. By representing a Makefile as a dependency graph, we map the dependency mining problem to a link prediction problem, and leverage 9 state-of-the-art link prediction algorithms to solve it. We collected Makefiles from 7 open source projects to evaluate the effectiveness of the algorithms. Copyright 2014 ACM.",Conference paper,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905650920&doi=10.1145%2f2554850.2555134&partnerID=40&md5=05ed5d20675511553cdb8c6e229847e7,Proceedings of the ACM Symposium on Applied Computing,43,Exclude,E1.1,"Bit of an edge case, but it's not really machine learning I think?"
Czech M.; Hüllermeier E.; Jakobs M.-C.; Wehrheim H.,Predicting rankings of software verification tools,"Today, software verification tools have reached the maturity to be used for large scale programs. Different tools perform differently well on varying code. A software developer is hence faced with the problem of choosing a tool appropriate for her program at hand. A ranking of tools on programs could facilitate the choice. Such rankings can, however, so far only be obtained by running all considered tools on the program. In this paper, we present a machine learning approach to predicting rankings of tools on programs. The method builds upon so-called label ranking algorithms, which we complement with appropriate kernels providing a similarity measure for programs. Our kernels employ a graph representation for software source code that mixes elements of control flow and program dependence graphs with abstract syntax trees. Using data sets from the software verification competition SV-COMP, we demonstrate our rank prediction technique to generalize well and achieve a rather high predictive accuracy (rank correlation > 0.6). © 2017 Copyright held by the owner/author(s).",Conference paper,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052882315&doi=10.1145%2f3121257.3121262&partnerID=40&md5=18b8a9acd060494963e86062f6f2ed90,"SWAN 2017 - Proceedings of the 3rd ACM SIGSOFT International Workshop on Software Analytics, Co-located with FSE 2017",44,Exclude,E1.10,
Loyola P.; Matsuo Y.,Learning graph representations for defect prediction,"We propose to study the impact of the representation of the data in defect prediction models. For this study, we focus on the use of developer activity data, from which we structure dependency graphs. Then, instead of manually generating features, such as network metrics, we propose a model inspired in recent advances in Representation Learning which are able to automatically learn representations from graph data. These new representations are compared against manually crafted features for defect prediction in real world software projects. © 2017 IEEE.",Conference paper,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026781427&doi=10.1109%2fICSE-C.2017.68&partnerID=40&md5=5cf4f2e227d3a6f76fe196552721c144,"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering Companion, ICSE-C 2017",45,Exclude,E1.8,
Zhou B.; Xia X.; Lo D.; Wang X.,Build predictor: More accurate missed dependency prediction in build configuration files,"Software build system (e.g., Make) plays an important role in compiling human-readable source code into an executable program. One feature of build system such as make-based system is that it would use a build configuration file (e.g., Make file) to record the dependencies among different target and source code files. However, sometimes important dependencies would be missed in a build configuration file, which would cause additional debugging effort to fix it. In this paper, we propose a novel algorithm named Build Predictor to mine the missed dependncies. We first analyze dependencies in a build configuration file (e.g., Make file), and establish a dependency graph which captures various dependencies in the build configuration file. Next, considering that a build configuration file is constructed based on the source code dependency relationship, we establish a code dependency graph (code graph). Build Predictor is a composite model, which combines both dependency graph and code graph, to achieve a high prediction performance. We collected 7 build configuration files from various open source projects, which are Zlib, putty, vim, Apache Portable Runtime (APR), memcached, nginx, and Tengine, to evaluate the effectiveness of our algorithm. The experiment results show that compared with the state-of-the-art link prediction algorithms used by Xia et al., our Build Predictor achieves the best performance in predicting the missed dependencies. © 2014 IEEE.",Conference paper,2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928640876&doi=10.1109%2fCOMPSAC.2014.12&partnerID=40&md5=a3241e7a46466f48c08d33704bc5e9dd,Proceedings - International Computer Software and Applications Conference,46,Exclude,E1.1,Exact same as 43/62
Jin Y.; Bai Y.; Zhu Y.; Sun Y.; Wang W.,Code Recommendation for Open Source Software Developers,"Open Source Software (OSS) is forming the spines of technology infrastructures, attracting millions of talents to contribute. Notably, it is challenging and critical to consider both the developers' interests and the semantic features of the project code to recommend appropriate development tasks to OSS developers. In this paper, we formulate the novel problem of code recommendation, whose purpose is to predict the future contribution behaviors of developers given their interaction history, the semantic features of source code, and the hierarchical file structures of projects. We introduce CODER, a novel graph-based CODE Recommendation framework for open source software developers, which accounts for the complex interactions among multiple parties within the system. CODER jointly models microscopic user-code interactions and macroscopic user-project interactions via a heterogeneous graph and further bridges the two levels of information through aggregation on file-structure graphs that reflect the project hierarchy. Moreover, to overcome the lack of reliable benchmarks, we construct three large-scale datasets to facilitate future research in this direction. Extensive experiments show that our CODER framework achieves superior performance under various experimental settings, including intra-project, cross-project, and cold-start recommendation. © 2023 Owner/Author.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159264141&doi=10.1145%2f3543507.3583503&partnerID=40&md5=32b2da1f0f6ea3e64ea2d6f6b9e24913,"ACM Web Conference 2023 - Proceedings of the World Wide Web Conference, WWW 2023",47,Include,"I1.1,I1.2",
Ye Z.; Feng Z.; Xiao J.; Gao Y.; Fan G.; Zhang H.; Chen S.,Heterogeneous Graph Neural Network-Based Software Developer Recommendation,"In software maintenance, it is critical for project managers to assign software issues to the appropriate developers. However, finding suitable developers is challenging due to the general sparsity and the long-tail of developer-issue interactions. In this paper, we propose a novel Heterogeneous Graph Neural Network-based method for Developer Recommendation (called HGDR), in which text information embedding and self-supervised learning (SSL) are incorporated. Specifically, to alleviate the sparsity of developer-issue interactions, we unify developer-issue interactions, developer-source code file interactions and issue-source code file relations into a heterogeneous graph, and we embed text descriptions to graph nodes as information supplements. In addition, to mitigate the long-tail influence, e.g., recommendation bias, the proficiency weight suppression link supplementation is proposed to complement the tail developers by adjusting proficiency weights. Finally, to fully utilize rich structural information of heterogeneous graph, we use the joint learning of metapath-guided heterogeneous graph neural network and SSL to learn the embedding representation. Extensive comparison experiments on three real-world datasets show that HGDR outperforms the state-of-the-art methods by 6.02% to 44.27% on recommended metric. The experimental results also demonstrate the efficacy of HGDR in the sparse and long-tail scenario. Our code is available at https://github.com/1qweasdzxc/HGDR. © 2022, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.",Conference paper,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149873121&doi=10.1007%2f978-3-031-24383-7_24&partnerID=40&md5=ecf48c7bba6e98f18bb9a9e0c0705a55,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",48,Include,,
Yerramreddy S.; Mordahl A.; Koc U.; Wei S.; Foster J.S.; Carpuat M.; Porter A.A.,An empirical assessment of machine learning approaches for triaging reports of static analysis tools,"Despite their ability to detect critical bugs in software, static analysis tools’ high false positive rates are a key barrier to their adoption in real-world settings. To improve the usability of these tools, researchers have recently begun to apply machine learning techniques to classify and filter incorrect analysis reports. Although initial results have been promising, the long-term potential and best practices for this line of research are unclear due to the lack of detailed, large-scale empirical evaluation. To partially address this knowledge gap, we present a comparative empirical study of three machine learning techniques—traditional models, recurrent neural networks (RNNs), and graph neural networks (GNNs)—for classifying correct and incorrect results in three static analysis tools—FindSecBugs, CBMC, and JBMC—using multiple datasets. These tools represent different techniques of static analysis, namely taint analysis and model-checking. We also introduce and evaluate new data preparation routines for RNNs and node representations for GNNs. We find that overall classification accuracy reaches a high of 80%–99% for different datasets and application scenarios. We observe that data preparation routines have a positive impact on classification accuracy, with an improvement of up to 5% for RNNs and 16% for GNNs. Overall, our results suggest that neural networks (RNNs or GNNs) that learn over a program’s source code outperform traditional models, although interesting tradeoffs are present among all techniques. Our observations provide insight into the future research needed to speed the adoption of machine learning approaches for static analysis tools in practice. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146111753&doi=10.1007%2fs10664-022-10253-z&partnerID=40&md5=aca50e2d5282663af0b1c5a20fba98c0,Empirical Software Engineering,49,Include,I1.1,"Also regular GGNN, aside from lineairsation"
Tommasel A.; Diaz-Pace J.A.,Identifying emerging smells in software designs based on predicting package dependencies,"Software systems naturally evolve, and this evolution often brings design problems that contribute to system degradation. Architectural smells are typical symptoms of such problems, and several of these smells are related to undesired dependencies among packages. The early detection of smells is essential for software engineers to plan ahead for maintenance or refactoring efforts. Although tools for identifying smells exist, they detect the smells once they already exist in the source code when their undesired dependencies are already created. In this work, we explore a forward-looking approach for identifying smells that can emerge in the next system version based on inferring package dependencies that are likely to appear in the system. Our approach takes the current design structure of the system as a network, along with information from previous versions, and applies link prediction techniques from the field of social network analysis. In particular, we consider a group of smells known as instability smells (cyclic dependency, hub-like dependency, and unstable dependency), which fit well with the link prediction model. The approach includes a feedback mechanism to progressively reduce false positives in predictions. An evaluation based on six open-source projects showed that, under certain considerations, the proposed approach can satisfactorily predict missing dependencies and smell configurations thereof. The feedback mechanism led to improvements of up to three times the initial precision values. Furthermore, we have developed a tool for practitioners to apply the approach in their projects. © 2022 Elsevier Ltd",Article,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135130833&doi=10.1016%2fj.engappai.2022.105209&partnerID=40&md5=dfeac6767cd0654f1ee0925e2fe7c8ef,Engineering Applications of Artificial Intelligence,50,Include,I1.1,
Li Y.,Improving Bug Detection and Fixing via Code Representation Learning,"The software quality and reliability have been proved to be important during the program development. There are many existing studies trying to help improve it on bug detection and automated program repair processes. However, each of them has its own limitation and the overall performance still have some improvement space. In this paper, we proposed a deep learning framework to improve the software quality and reliability on these two detectfix processes. We used advanced code modeling and AI models to have some improvements on the state-of-the-art approaches. The evaluation results show that our approach can have a relative improvement up to 206% in terms of F-1 score when comparing with baselines on bug detection and can have a relative improvement up to 19.8 times on the correct bug-fixing amount when comparing with baselines on automated program repair. These results can prove that our framework can have an outstanding performance on improving software quality and reliability in bug detection and automated program repair processes.  © 2020 ACM.",Conference paper,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098558215&doi=10.1145%2f3377812.3382172&partnerID=40&md5=65b8a72829424d72c849d3f3da912067,"Proceedings - 2020 ACM/IEEE 42nd International Conference on Software Engineering: Companion, ICSE-Companion 2020",51,Exclude,E1.10,
Koc U.; Wei S.; Foster J.S.; Carpuat M.; Porter A.A.,An empirical assessment of machine learning approaches for triaging reports of a Java static analysis tool,"Despite their ability to detect critical bugs in software, developers consider high false positive rates to be a key barrier to using static analysis tools in practice. To improve the usability of these tools, researchers have recently begun to apply machine learning techniques to classify and filter false positive analysis reports. Although initial results have been promising, the long-term potential and best practices for this line of research are unclear due to the lack of detailed, large-scale empirical evaluation. To partially address this knowledge gap, we present a comparative empirical study of four machine learning techniques, namely hand-engineered features, bag of words, recurrent neural networks, and graph neural networks, for classifying false positives, using multiple ground-truth program sets. We also introduce and evaluate new data preparation routines for recurrent neural networks and node representations for graph neural networks, and show that these routines can have a substantial positive impact on classification accuracy. Overall, our results suggest that recurrent neural networks (which learn over a program's source code) outperform the other subject techniques, although interesting tradeoffs are present among all techniques. Our observations provide insight into the future research needed to speed the adoption of machine learning approaches in practice. © 2019 IEEE.",Conference paper,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067964497&doi=10.1109%2fICST.2019.00036&partnerID=40&md5=4a03f036f9e8002482aee7dfc82d5482,"Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019",52,Exclude,E1.10,Can this truely be considered a duplicate (earlier version) of paper 49?
Li Y.; Wang S.; Nguyen T.N.; Van Nguyen S.,Improving bug detection via context-based code representation learning and attention-based neural networks,"Bug detection has been shown to be an effective way to help developers in detecting bugs early, thus, saving much effort and time in software development process. Recently, deep learning-based bug detection approaches have gained successes over the traditional machine learning-based approaches, the rule-based program analysis approaches, and mining-based approaches. However, they are still limited in detecting bugs that involve multiple methods and suffer high rate of false positives. In this paper, we propose a combination approach with the use of contexts and attention neural network to overcome those limitations. We propose to use as the global context the Program Dependence Graph (PDG) and Data Flow Graph (DFG) to connect the method under investigation with the other relevant methods that might contribute to the buggy code. The global context is complemented by the local context extracted from the path on the AST built from the method's body. The use of PDG and DFG enables our model to reduce the false positive rate, while to complement for the potential reduction in recall, we make use of the attention neural network mechanism to put more weights on the buggy paths in the source code. That is, the paths that are similar to the buggy paths will be ranked higher, thus, improving the recall of our model. We have conducted several experiments to evaluate our approach on a very large dataset with +4.973M methods in 92 different project versions. The results show that our tool can have a relative improvement up to 160% on F-score when comparing with the state-of-the-art bug detection approaches. Our tool can detect 48 true bugs in the list of top 100 reported bugs, which is 24 more true bugs when comparing with the baseline approaches. We also reported that our representation is better suitable for bug detection and relatively improves over the other representations up to 206% in accuracy. © 2019 Association for Computing Machinery. All rights reserved.",Article,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120130347&doi=10.1145%2f3360588&partnerID=40&md5=c59c9874585380c66a93a3079e51cc7d,Proceedings of the ACM on Programming Languages,53,Include,,Very close to being a linearised AST 
