Full Reference,Inclusion,Has PDF,Reason
"Zeng C., Zhou C.Y., Lv S.K., He P., Huang J., GCN2defect: Graph Convolutional Networks for SMOTETomek-based Software Defect Prediction, pp. 69-79, (2021)",Include,Yes,I1.1
"Zhang F., Zheng Q., Zou Y., Hassan A.E., Cross-project defect prediction using a connectivity-based unsupervised classifier, Proceedings of the 38th International Conference on Software Engineering, ICSE 2016, Austin, TX, USA, May 14-22, 2016, pp. 309-320, (2016)",Exclude,Yes,E1.1
"Xu Z., Li S., Xu J., Liu J., Luo X., Zhang Y., Zhang T., Keung J., Tang Y., LDFR: learning deep feature representation for software defect prediction, J Sys Soft, 158, (2019)",Exclude,Yes,I2.2(E1.1)
"Li J., He P., Zhu J., Lyu M.R., Software defect prediction via convolutional neural network, 2017 IEEE International Conference on Software Quality, Reliability and Security (QRS), pp. 318-328, (2017)",Include,Yes,I1.1
"Pornprasit C., Tantithamthavorn C., DeepLineDP: Towards a Deep Learning Approach for Line-Level Defect Prediction, IEEE Transactions on Software Engineering, 1, (2022)",Exclude,Yes,I2.2(E1.1)
"Xu J., Wang F., Ai J., Defect prediction with semantics and context features of codes based on graph representation learning, Ieee Trans. Reliab, pp. 1-13, (2020)",Include,Yes,I1.1
"Tian J., Tian Y., A model based on program slice and deep learning for software defect prediction, Proc.-Int. Conf. Comput. Commun. Networks, Icccn, pp. 2-7, (2020)",Include,Yes,I2.3
"Cai Z., Lu L., Qiu S., An abstract syntax tree encoding method for cross-project defect prediction, Ieee Access, 7, pp. 170844-170853, (2019)",Include,Yes,I2.3
"Yang Y., Ai J., Wang F., Defect prediction based on the characteristics of multilayer structure of software network, 2018 Ieee International Conference on Software Quality, Reliability and Security Companion (QRS-C), pp. 27-34, (2018)",Include,Yes,I2.3
"Shippey T., Bowes D., Hall T., Automatically identifying code features for software defect prediction: Using AST N-grams, Inf. Softw. Technol., 106, pp. 142-160, (2019)",Include,Yes,"I1.1,I1.2"
"Zhang Y., Jin D., Xing Y., Gong Y., Automated defect identification via path analysis-based features with transfer learning, The Journal of Systems & Software, 166, (2020)",Include,Yes,I1.1
"Meilong S., He P., Xiao H., Li H., Zeng C., An approach to semantic and structural features learning for software defect prediction, Math. Problems Eng., 2020, (2020)",Include,Yes,"I1.1,I1.2"
"Wang H., Zhuang W., Zhang X., Software Defect Prediction Based on Gated Hierarchical LSTMs, IEEE Transactions on Reliability, 70, 2, pp. 711-727, (2021)",Include,Yes,I1.1
"Nguyen V. H., Tran L. M. S., Predicting vulnerable software components with dependency graphs, Proceedings of the 6th International Workshop on Security Measurements and Metrics, ser. MetriSec'10, pp. 31-38, (2010)",Include,Yes,I2.3
"Zhou T., Sun X., Xia X., Li B., Chen X., Improving defect prediction with deep forest, Inform Soft Tech, 114, pp. 204-216, (2019)",Exclude,Yes,E1.1
"Qu Y., Liu T., Chi J., Jin Y., Cui D., He A., Zheng Q., node2defect: Using network embedding to improve software defect prediction, 2018 33rd IEEE/ACM International Conference on Automated Software Engineering, ASE, pp. 844-849, (2018)",Include,Yes,I1.1
"Pan C., Lu M., Xu B., Gao H., An improved CNN model for withinproject software defect prediction, Appl. Sci., 9, 10, (2019)",Include,Yes,I1.1
"Li Z., Zou D., Xu S., Ou X., Jin H., Wang S., Deng Z., Zhong Y., VulDeePecker: A deep learningbased system for vulnerability detection, 25th Annual Network and Distributed System Security Symposium, Ndss 2018, (2018)",Exclude,Yes,E1.1
"Li M., Li C., Li S., Wu Y., Zhang B., Wen Y., ACGVD: Vulnerability detection based on comprehensive graph via graph neural network with attention, International Conference on Information and Communications Security, pp. 243-259, (2021)",Include,Yes,I1.1
"Wu H., Zhang Z., Wang S., Lei Y., Lin B., Qin Y., Zhang H., Mao X., Peculiar: Smart contract vulnerability detection based on crucial data flow graph and pre-Training techniques, 2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE). IEEE, pp. 378-389, (2021)",Include,Yes,I1.1
"Kronjee J., Hommersom A., Vranken H., Discovering software vulnerabilities using data-flow analysis and machine learning, Proceedings of The 13th International Conference on Availability, Reliability and Security, Ser. ARES 2018, (2018)",Include,Yes,I1.1
"Li Z., Zou D., Xu S., Jin H., Zhu Y., Chen Z., SySeVR: A framework for using deep learning to detect software vulnerabilities, IEEE Trans. Dependable Secure Comput., (2021)",Include,Yes,I1.1
"Zhou L., Huang M., Li Y., Et al., GraphEye: A Novel Solution for Detecting Vulnerable Functions Based on Graph Attention Network [C], 2021 IEEE Sixth International Conference on Data Science in Cyberspace (DSC). IEEE, pp. 381-388, (2021)",Include,Yes,I1.1
"Heo K., Oh H., Yi K., Machine-learning-guided selectively unsound static analysis, Proc. IEEE/ACM 39th Int. Conf. Softw. Eng. (ICSE), pp. 519-529, (2017)",Exclude,Yes,I2.2(E1.1)
"Duan X., Wu J., Ji S., Rui Z., Luo T., Yang M., Wu Y., Vulsniper: Focus your attention to shoot fine-grained vulnerabilities., IJCAI, pp. 4665-4671, (2019)",Include,Yes,I1.1
"Jeon S., Kim H.K., Autovas: an automated vulnerability analysis system with a deep learning approach, Comput. Secur., 106, (2021)",Exclude,Yes,E1.1
"An W., Chen L., Wang J., Du G., Shi G., Meng D., AVDHRAM: Automated vulnerability detection based on hierarchical representation and attention mechanism, 2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking, ISPA/BDCloud/SocialCom/SustainCom, pp. 337-344, (2020)",Exclude,Yes,E1.1
"Bilgin Z., Ersoy M.A., Soykan E.U., Tomur E., Comak P., Karacay L., Vulnerability prediction from source code using machine learning, IEEE Access, 8, pp. 150672-150684, (2020)",Include,Yes,I1.1
"Nong Y., Ou Y., Pradel M., Chen F., Cai H., Generating realistic vulnerabilities via neural code editing: An empirical study, ESEC/FSE 2022, pp. 1097-1109, (2022)",Exclude,Yes,I2.2(E3.2)
"Cui L., Zhiyu H., Yang J., Fei H., Yun X., Vuldetector: Detecting vulnerabilities using weighted feature graph comparison, IEEE Transactions on Information Forensics and Security, 16, pp. 2004-2017, (2020)",Exclude,Yes,E1.1
"Li Z., Zou D., Xu S., Chen Z., Zhu Y., Jin H., VulDeeLocator: A Deep Learning-based Fine-grained Vulnerability Detector, 2, pp. 1-15, (2020)",Exclude,Yes,E1.1
"Liu Z., Qian P., Wang X., Zhu L., He Q., Ji S., Smart contract vulnerability detection: From pure neural network to interpretable graph feature and expert pattern fusion, (2021)",Include,Yes,"I1.1,I1,2(?)"
"Zhuang Y., Liu Z., Qian P., Liu Q., Wang X., He Q., Smart contract vulnerability detection using graph neural network, Proceedings of the Twenty-Ninth International Joint Conference on Artificial Intelligence, IJCAI 2020, pp. 3283-3290, (2020)",Include,Yes,I1.1
"Ban X., Liu S., Chen C., Chua C., A performance evaluation of deep-learnt features for software vulnerability detection, Concurrency Comput., Practice Experience, 31, (2019)",Include,Yes,I2.3
"Zhu Q., Sun Z., Xiao Y., Zhang W., Yuan K., Xiong Y., Zhang L., A syntax-guided edit decoder for neural program repair, Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering., pp. 341-353, (2021)",Include,Yes,I2.3
"Vasic M., Kanade A., Maniatis P., Bieber D., Singh R., Neural program repair by jointly learning to localize and repair, 7th International Conference on Learning Representations, ICLR 2019. OpenReview.net, (2019)",Exclude,Yes,E1.1
"White M., Tufano M., Martinez M., Monperrus M., Poshyvanyk D., Sorting and transforming program repair ingredients via deep learning code similarities, Proceedings of the 26th IEEE International Conference on Software Analysis, Evolution and Reengineering, pp. 479-490, (2019)",Include,Yes,I2.3
"Li Y., Wang S., Nguyen T.N., DEAR: A novel deep learning-based approach for automated program repair, International Conference on Software Engineering. ACM, pp. 511-523, (2022)",Include,Yes,I2.3
