Title,Full Reference,Inclusion (Title),Inclusion (Abstract)
modeling social coding dynamics with sampled historical data,"Bidoki N.H., Schiappa M., Sukthankar G., Garibay I., Modeling Social Coding Dynamics With Sampled Historical Data, Online Social Networks and Media, 16, 2020",Exclude,""
detecting false alarms from automatic static analysis tools: how far are we?,"Kang H.J.K.L.D., Detecting false alarms from automatic static analysis tools: How far are we?, Proceedings of the 44Th International Conference on Software Engineering (ICSE ’22)., pp. 698-709, (2022)",Exclude,""
t. j. watson libraries for analysis (wala,"T. J. Watson Libraries for Analysis (WALA, (2006)",Exclude,""
progress networks as a tool for analysing student programming difficulties,"MCBROOM J., PAASSEN B., JEFFRIES B., KOPRINSKA I., YACEF K., Progress networks as a tool for analysing student programming difficulties, Proceedings of the Twenty-Third Australasian Conference on Computing Education, pp. 158-167, (2021)",Include,Exclude
convolutional sequence to sequence learning,"Gehring Jonas, Auli Michael, Grangier David, Yarats Denis, Dauphin Yann N., Convolutional sequence to sequence learning, Proceedings of the 34th International Conference on Machine Learning, volume 70 of Proceedings of Machine Learning Research, pp. 1243-1252, (2017)",Exclude,""
robust spammer detection using collaborative neural network in internet-of-things applications,"Guo Z., Shen Y., Bashir A.K., Imran M., Kumar N., Zhang D., Yu K., Robust spammer detection using collaborative neural network in internet-of-things applications, IEEE Internet of Things Journal, 8, 12, pp. 9549-9558, (2021)",Exclude,""
malicious web request detection using character-level cnn,"Rong W., Zhang B., Lv X., Malicious web request detection using character-level CNN, Machine learning for cyber security - second international conference, ML4CS 2019, Xi'An, China, september 19-21, 2019, Proceedings, pp. 6-16, (2019)",Exclude,""
a comparison of the quality of data-driven programming hint generation algorithms,"PRICE T. W., DONG Y., ZHI R., PAASSEN B., LYTLE N., CATETE V., BARNES T., A comparison of the quality of data-driven programming hint generation algorithms, International Journal of Artificial Intelligence in Education, 29, 3, pp. 368-395, (2019)",Exclude,""
malware analysis with graph kernels and support vector machines,"Wagner C., Wagener G., State R., Engel T., Malware analysis with graph kernels and support vector machines, MALWARE, pp. 63-68, (2009)",Include,Exclude
threshold extraction framework for software metrics,"Alqmase M., Alshayeb M., Ghouti L., Threshold extraction framework for software metrics, J. Comput. Sci. Technol., 34, 5, pp. 1063-1078, (2019)",Exclude,""
learning representations by back-propagating errors,"Rumelhart David E, Hinton Geoffrey E, Williams Ronald J, Learning representations by back-propagating errors, nature, 323, 6088, pp. 533-536, (1986)",Exclude,""
collective personalized change classification with multiobjective search,"Xia X., Lo D., Wang X., Yang X., Collective personalized change classification with multiobjective search, IEEE Trans. Reliab., 65, 4, pp. 1810-1829, (2016)",Exclude,""
vuldeepecker: a deep learning-based system for vulnerability detection. proceedings of the network and distributed systems security (ndss) symposium 2018,"Li Z., Zou D., Xu S., Et al., Vuldeepecker: a deep learning-based system for vulnerability detection. Proceedings of the Network and Distributed Systems Security (NDSS) Symposium 2018",Include,Include
identification of extract method refactoring opportunities for the decomposition of methods,"Tsantalis N., Chatzigeorgiou A., Identification of extract method refactoring opportunities for the decomposition of methods, Journal of Systems and Software, 84, pp. 1757-1782, (2011)",Exclude,""
intelligent mining vulnerabilities in python code snippets,"Guo W., Huang C., Niu W., Fang Y., Intelligent mining vulnerabilities in python code snippets, Journal of Intelligent & Fuzzy Systems, 41, 2, pp. 3615-3628, (2021)",Exclude,""
graph grammars and global program data flow analysis,"Farrow R., Kennedy K., Zucconi L., Graph grammars and global program data flow analysis, 17th Annual Symposium on Foundations of Computer Science (sfcs 1976), pp. 42-56, (1976)",Include,Exclude
remaining trouble spots with computational thinking,"DENNING P. J., Remaining trouble spots with computational thinking, Communications of the ACM, 60, 6, pp. 33-39, (2017)",Exclude,""
using an rbf neural network to locate program bugs,"Wong W. E., Shi Y., Qi Y., Golden R., Using an rbf neural network to locate program bugs, 2008 19th International Symposium on Software Reliability Engineering (ISSRE). IEEE, pp. 27-36, (2008)",Include,Exclude
gate-variants of gated recurrent unit (gru) neural networks,"Dey R., Salem F.M., Gate-variants of gated recurrent unit (gru) neural networks, 2017 IEEE 60th International Midwest Symposium on Circuits and Systems (MWSCAS), pp. 1597-1600, (2017)",Exclude,""
cppchecker,"Anon M., Cppchecker, (2022)",Exclude,""
recognizing behavioral patterns atruntime using finite automata,"Wendehals L., Orso A., Recognizing Behavioral Patterns Atruntime Using Finite Automata, Proceedings of the 2006 International Workshop on Dynamic Systems Analysis (WODA '06)., pp. 33-40, (2006)",Exclude,""
replication package,"Replication package, (2020)",Exclude,""
optimal transport for applied mathematicians,"Santambrogio F., Optimal transport for applied mathematicians, Progress in Nonlinear Differential Equations & Their Applications, pp. 99-102, (2015)",Exclude,""
codit: code editing with treebased neural models,"Chakraborty S., Ding Y., Allamanis M., Ray B., CODIT: Code editing with treebased neural models, IEEE Transactions on Software Engineering, (2020)",Include,Include
giraph: large-scale graph processing on hadoop,"Giraph: Large-Scale Graph Processing on Hadoop, (2020)",Include,Exclude
contest 4c-registration,Contest 4C-Registration,Exclude,""
an adjusted recommendation list size approach for users’ multiple item preferences,"Peker S., Kocyigit A., An adjusted recommendation list size approach for users’ multiple item preferences, Artificial Intelligence: Methodology, Systems, and Applications, pp. 310-319, (2016)",Exclude,""
bugs as deviant behavior: a general approach to inferring errors in systems code,"Engler D., Yu Chen D., Hallem S., Chou A., Chelf B., Bugs as deviant behavior: A general approach to inferring errors in systems code, ACM SIGOPS Operating Systems Review, 35, 5, pp. 57-72, (2001)",Exclude,""
implicit session contexts for next-item recommendations,"Oh S., Bhardwaj A., Han J., Kim S., Rossi R.A., Kumar S., Implicit Session Contexts for Next-Item Recommendations, CIKM, pp. 4364-4368, (2022)",Exclude,""
code property graph-based vulnerability dataset generation for source code detection. in guangquan xu,"Guan Z., Wang X., Xin W., Wang J., Code property graph-based vulnerability dataset generation for source code detection. in Guangquan Xu, Kaitai Liang, and Chunhua Su, editors, Frontiers in Cyber Security, pp. 584-591, (2020)",Include,Exclude
machine-learning-guided typestate analysis for static use-after-free detection,"Yan H., Sui Y., Chen S., Xue J., Machine-learning-guided typestate analysis for static use-after-free detection, Proceedings of the 33rd Annual Computer Security Applications Conference (ACSAC’17), pp. 42-54, (2017)",Exclude,""
overcode: visualizing variation in student solutions to programming problems at scale,"GLASSMAN E. L., SCOTT J., SINGH R., GUO P. J., MILLER R. C., Overcode: Visualizing variation in student solutions to programming problems at scale, ACM Transactions on Computer-Human Interaction, 22, 2, (2015)",Exclude,""
automatic detection and correction of web application vulnerabilities using data mining to predict false positives,"Medeiros I., Neves N.F., Correia M., Automatic detection and correction of web application vulnerabilities using data mining to predict false positives, Proceedings of The 23rd International Conference on World Wide Web, Ser. WWW’14, pp. 63-74, (2014)",Exclude,""
leveraging textual properties of bug reports to localize relevant source files,"Gharibi R., Rasekh A.H., Sadreddini M.H., Fakhrahmad S.M., Leveraging textual properties of bug reports to localize relevant source files, Inf. Process. Manage., 54, 6, pp. 1058-1076, (2018)",Exclude,""
a systematic review of machine learning techniques for software fault prediction,"Malhotra R., A systematic review of machine learning techniques for software fault prediction, Applied Soft Computing, 27, pp. 504-518, (2015)",Exclude,""
leveraging code generation to improve code retrieval and summarization via dual learning,"Ye W., Xie R., Zhang J., Hu T., Wang X., Zhang S., Leveraging code generation to improve code retrieval and summarization via dual learning, Proceedings of the Web Conference 2020, pp. 2309-2319, (2020)",Include,Exclude
condensing class diagrams with minimal manual labeling cost,"Yang X., Lo D., Xia X., Sun J., Condensing class diagrams with minimal manual labeling cost, 2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC, 1, pp. 22-31",Exclude,""
[journal first] are fix-inducing changes a moving target?: a longitudinal case study of just-in-time defect prediction,"McIntosh S., Kamei Y., [Journal first] are fix-inducing changes a moving target?: A longitudinal case study of just-in-time defect prediction, 2018 IEEE/ACM 40th International Conference On Software Engineering, ICSE, (2018)",Exclude,""
statically discovering high-order taint style vulnerabilities in os kernels,"Zhang H., Chen W., Hao Y., Li G., Zhai Y., Zou X., Qian Z., Statically discovering high-order taint style vulnerabilities in os kernels, Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security (CCS), (2021)",Exclude,""
pinpoint: fast and precise sparse value flow analysis for million lines of code,"Shi Q., Xiao X., Wu R., Zhou J., Fan G., Zhang C., Pinpoint: Fast and precise sparse value flow analysis for million lines of code, Proceedings of the 39th ACM SIGPLAN Conference on Programming Language Design and Implementation, PLDI 2018, pp. 693-706, (2018)",Exclude,""
a survey of combinatorial testing,"Nie C., Hareton L., A survey of combinatorial testing, ACM Comput Surv, 43, 2, (2011)",Exclude,""
contest 230b-tprime,Contest 230B-TPrime,Exclude,""
architecture reconstruction.,"Koschke R., Architecture Reconstruction., pp. 140-173, (2009)",Include,""
control flow analysis,"Allen F.E., Control flow analysis, Proceedings of a Symposium on Compiler Optimization, (1970)",Include,""
empirical review of automated analysis tools on 47,"Durieux T., Ferreira J.F., Abreu R., Cruz P., Empirical review of automated analysis tools on 47,587 ethereum smart contracts, the ACM/IEEE 42nd International Conference on Software Engineering, 2020, pp. 530-541",Exclude,""
prototypical fine-tuning: towards robust performance under varying data sizes,"Jin Y., Wang X., Hao Y., Sun Y., Xie X., Prototypical Fine-tuning: Towards Robust Performance Under Varying Data Sizes, AAAI, (2023)",Exclude,""
adaptive mixtures of local experts,"Jacobs R.A., Jordan M.I., Nowlan S.J., Hinton G.E., Adaptive mixtures of local experts, Neural Comput, 3, 1, pp. 79-87, (2012)",Exclude,""
nscaching: simple and efficient negative sampling for knowledge graph embedding,"Zhang Y., Yao Q., Shao Y., Chen L., Nscaching: Simple and efficient negative sampling for knowledge graph embedding, 2019 IEEE 35th International Conference on Data Engineering (ICDE), pp. 614-625, (2019)",Exclude,""
link prediction in complex networks: a survey,"Lu L., Zhou T., Link prediction in complex networks: A survey, Physica A, 390, 6, (2011)",Exclude,""
vulnerability detection with finegrained interpretations,"Li Y., Wang S., Nguyen T.N., Vulnerability Detection with Finegrained Interpretations, The 29th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering, (2021)",Exclude,""
the cost of developing large-scale software,"Wolverton R.W., The cost of developing large-scale software, IEEE Trans. Comput., 23, 6, pp. 615-636, (1974)",Exclude,""
a survey of cyber attack detection strategies,"Raiyn J., Et al., A survey of cyber attack detection strategies, Int. J. Secur. Appl., 8, 1, pp. 247-256, (2014)",Exclude,""
bp-transformer: modelling long-range context via binary partitioning,"Ye Z., Guo Q., Gan Q., Qiu X., Zhang Z., Bp-transformer: Modelling long-range context via binary partitioning, (2019)",Exclude,""
learning to repair compilation errors,"Mesbah A., Rice A., Johnston E., Glorioso N., Aftandilian E., DeepDelta: Learning to repair compilation errors, Foundations of Software Engineering. ACM, pp. 925-936, (2019)",Exclude,""
marfcat: fast code analysis for defects and vulnerabilities,"Mokhov S.A., Paquet J., Debbabi M., MARFCAT: Fast code analysis for defects and vulnerabilities, 2015 IEEE 1st International Workshop on Software Analytics, pp. 35-38, (2015)",Exclude,""
software model checking for people who love automata,"Heizmann M., Hoenicke J., Podelski A., Software model checking for people who love automata, CAV, LNCS, 8044, pp. 36-52, (2013)",Exclude,""
imbalanced text classification: a term weighting approach,"Liu Y., Loh H.T., Sun A., Imbalanced text classification: A term weighting approach, Expert Syst. Appl., 36, 1, pp. 690-701, (2009)",Exclude,""
strategy selection for software verification based on boolean features—a simple but effective approach,"Beyer D., Dangl M., Strategy selection for software verification based on boolean features—a simple but effective approach, Isola, LNCS, 11245, pp. 144-159, (2018)",Exclude,""
2015 defense of soundiness:amanifesto. commun acm,"Livshits B., Sridharan M., Smaragdakis Y., Lhotak O., Nelson Amaral J., Evan Chang B., Guyer S.Z., Khedker U.P., Moller A., Vardoulakis D., 2015 Defense of Soundiness:AManifesto. Commun ACM, 58, 2, pp. 44-46, (2015)",Exclude,""
antlr (another tool for language recognition),"Antlr (ANother Tool for Language Recognition), (2019)",Exclude,""
towards the use of the readily available tests from the release pipeline as performance tests. are we there yet?,"Ding Z., Chen J., Shang W., Towards the use of the readily available tests from the release pipeline as performance tests. Are we there yet?, Proceedings of the 42nd International Conference on Software Engineering, (2020)",Exclude,""
positive and unlabeled learning for detecting software functional clones with adversarial training,"Wei H., Li M., Positive and unlabeled learning for detecting software functional clones with adversarial training, Proceedings of the 27th International Joint Conference on Artificial Intelligence (IJCAI'18)., pp. 2840-2846, (2018)",Exclude,""
identifying redundancy in source code using fingerprints,"Howard Johnson J., Identifying redundancy in source code using fingerprints, Proceedings of the 1993 Conference of the Centre for Advanced Studies on Collaborative Research: Software Engineering - Volume 1 (CASCON’93), pp. 171-183, (1993)",Exclude,""
scalable graph-based bug search for firmware images,"Feng Q., Zhou R., Xu C., Cheng Y., Testa B., Yin H., Scalable graph-based bug search for firmware images, Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security (CCS), (2016)",Exclude,""
be more familiar with our enemies and pave the way forward: a review of the roles bugs played in software failures,"Wong W. E., Li X., Laplante P. A., Be more familiar with our enemies and pave the way forward: A review of the roles bugs played in software failures, Journal of Systems and Software, 133, pp. 68-94, (2017)",Exclude,""
a software assurance reference dataset: thousands of programs with known bugs,"Black P., A software assurance reference dataset: Thousands of programs with known bugs, J. Res. Nat. Inst. Standards Technol., 123, pp. 1-3, (2018)",Exclude,""
deep learning based program generation from requirements text: are we there yet?,"Liu H., Shen M., Zhu J., Niu N., Li G., Zhang L., Deep learning based program generation from requirements text: Are we there yet?, IEEE Trans. Softw. Eng., (2020)",Include,Exclude
semantic learning and emulation based cross-platform binary vulnerability seeker,"Gao J., Jiang Y., Liu Z., Yang X., Wang C., Jiao X., Yang Z., Sun J., Semantic learning and emulation based cross-platform binary vulnerability seeker, IEEE Transactions on Software Engineering, pp. 1-1, (2019)",Exclude,""
striking a balance: pruning false-positives from static call graphs,"Utture A., Liu S., Kalhauge C.G., Palsberg J., Striking a balance: pruning false-positives from static call graphs, Proceedings of the 44Th International Conference on Software Engineering (ICSE ’22), pp. 2043-2055, (2022)",Include,Include
theano: a python framework for fast computation of mathematical expressions,"Theano: A python framework for fast computation of mathematical expressions, Arxiv, 1605, (2016)",Exclude,""
satune: study-driven auto-tuning approach for configurable software verification tools,"Koc U., Mordahl A., Wei S., Foster J.S., Porter A., SATune: Study-driven auto-tuning approach for configurable software verification tools, Proceedings of the 36Th IEEE/ACM International Conference on Automated Software Engineering (ASE 2021, (2021)",Exclude,""
code injection in c and c++: a survey of vulnerabilities and countermeasures,"Younan Y., Joosen W., Piessens F., Code Injection in C and C++: A Survey of Vulnerabilities and Countermeasures, (2004)",Exclude,""
who should comment on this pull request? analyzing attributes for more accurate commenter recommendation in pull-based development,"Jiang J., Yang Y., He J., Blanc X., Zhang L., Who should comment on this pull request? analyzing attributes for more accurate commenter recommendation in pull-based development, Information and Software Technology, 84, pp. 48-62, (2017)",Exclude,""
dualsc: automatic generation and summarization of shellcode via transformer and dual learning,"Yang G., Chen X., Zhou Y., Yu C., DualSC: Automatic generation and summarization of shellcode via transformer and dual learning, IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2022, Honolulu, HI, USA, March 15-18, 2022, pp. 361-372, (2022)",Exclude,""
2018. coherence of comments and method implementations: a dataset and an empirical investigation,"Corazza A., Maggio V., Scanniello G., 2018. Coherence of comments and method implementations: A dataset and an empirical investigation, Software Quality Journal, 26, 2, pp. 751-777, (2018)",Exclude,""
finding and preventing run-time error handling mistakes,"Weimer W., Necula G.C., Finding and preventing run-time error handling mistakes, OOPSLA, pp. 419-431, (2004)",Exclude,""
a survey of automated programming hint generation: the hints framework,"MCBROOM J., KOPRINSKA I., YACEF K., A survey of automated programming hint generation: The hints framework, ACM Computing Surveys, 54, 8, (2021)",Exclude,""
how do learners behave in help-seeking when given a choice?,"GROSS S., PINKWART N., How do learners behave in help-seeking when given a choice?, Proceedings of the 17th International Conference on Artificial Intelligence in Education, pp. 600-603, (2015)",Exclude,""
contest 914d-bash and a tough math puzzle,Contest 914D-Bash and a Tough Math Puzzle,Exclude,""
a clustering-based approach to enriching code foraging environment,"Niu N., Jin X., Niu Z., Cheng J.C., Li L., Kataev M., A clustering-based approach to enriching code foraging environment, IEEE Trans. Cybern., 46, 9, pp. 1962-1973, (2016)",Include,Exclude
tree-to-tree neural networks for program translation,"Chen X., Liu C., Song D., Tree-to-tree neural networks for program translation, NIPS'18 Proceedings of the 32nd International Conference on Neural Information Processing Systems, 31, pp. 2552-2562, (2018)",Include,Include
get to the point: summarization with pointer-generator networks,"See A., Liu P.J., Manning C.D., Get to the point: summarization with pointer-generator networks, Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics, pp. 1073-1083, (2017)",Exclude,""
approximation theory of the mlp model in neural networks,"Pinkus A., Approximation theory of the MLP model in neural networks, Acta numerica, 8, pp. 143-195, (1999)",Exclude,""
example-based feedback provision using structured solution spaces,"Gross S., Mokbel B., Paassen B., Hammer B., Pinkwart N., Example-based feedback provision using structured solution spaces, International Journal of Learning Technology, 10, 9, pp. 248-280, (2014)",Exclude,""
a training algorithm for optimal margin classifiers,"Boser B.E., Guyon I., Vapnik V., A training algorithm for optimal margin classifiers, COLT, pp. 144-152, (1992)",Exclude,""
palmtree: learning an assembly language model for instruction embedding,"Li X., Qu Y., Yin H., Palmtree: learning an assembly language model for instruction embedding, Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security (CCS), (2021)",Exclude,""
autocomment: mining question and answer sites for automatic comment generation,"Wong E., Yang J., Tan L., AutoComment: Mining question and answer sites for automatic comment generation, 2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 562-567, (2013)",Exclude,""
hierarchical question-image co-attention for visual question answering,"Lu J., Yang J., Batra D., Parikh D., Hierarchical question-image co-Attention for visual question answering, Advances in Neural Information Processing Systems, pp. 289-297, (2016)",Exclude,""
2021 cwe top 25 most dangerous software weaknesses,"2021 Cwe Top 25 Most Dangerous Software Weaknesses, (2021)",Exclude,""
how far we have progressed in the journey? an examination of cross-project defect prediction,"Zhou Y., Et al., How far we have progressed in the journey? An examination of cross-project defect prediction, Acm Trans. Softw. Eng. Methodol, 27, 1, (2018)",Exclude,""
incorporating syntactic and semantic information in word embeddings using graph convolutional networks,"Vashishth S., Bhandari M., Yadav P., Rai P., Bhattacharyya C., Talukdar P.P., Incorporating syntactic and semantic information in word embeddings using graph convolutional networks, Proceedings of the 57th Conference of the Association for Computational Linguistics, pp. 3308-3318, (2019)",Include,Exclude
don't count,"Baroni M., Dinu G., Kruszewski G., Don't count, predict! A systematic comparison of context-counting vs. Context-predicting semantic vectors, Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers, 1, pp. 238-247, (2014)",Include,""
lstm neural networks for language modeling,"Sundermeyer M., Schluter R., Ney H., Lstm neural networks for language modeling, Thirteenth Annual Conference of the International Speech Communication Association, (2012)",Exclude,""
selecting software phase markers with code structure analysis,"Lau J., Perelman E., Calder B., Selecting software phase markers with code structure analysis, Proceedings of the 2006 International Symposium on Code Generation and Optimization, pp. 135-146, (2006)",Include,Exclude
apimatchmaker: matching the right apis for supporting the development of android apps,"Zhao Y., Li L., Wang H., He Q., Grundy J., APIMatchmaker: Matching the right APIs for supporting the development of android apps, IEEE Trans Softw Eng, (2022)",Exclude,""
an executable formal semantics of php,"Filaretti D., Maffeis S., An executable formal semantics of PHP, ECOOP 2014 - Object-Oriented Programming - 28th European Conference, Ser. LNCS, 8586, pp. 567-592, (2014)",Exclude,""
source code documentation generation using program execution,"Sulir M., Poruban J., Source code documentation generation using program execution, Information, 8, (2017)",Exclude,""
learning program semantics with code representations: an empirical study,"Siow J.K., Liu S., Xie X., Meng G., Liu Y., Learning program semantics with code representations: An empirical study, (2022)",Include,Exclude
deep reinforcement learning for programming language correction,"Gupta R., Kanade A., Shevade S., Deep reinforcement learning for programming language correction, AAAI, (2019)",Include,Include
the conversational interface,"McTear M., Callejas Z., Griol D., The conversational interface, 694, (2016)",Include,""
statically checking api protocol conformance with mined multi-object specifications,"Pradel M., Jaspan C., Aldrich J., Gross T.R., Statically checking api protocol conformance with mined multi-object specifications, ICSE, pp. 925-935, (2012)",Exclude,""
the effectiveness of software metrics in identifying error-prone classes in post-release software evolution process,"Shatnawi R., Li W., The effectiveness of software metrics in identifying error-prone classes in post-release software evolution process, J. Syst. Softw., 81, 11, pp. 1868-1882, (2008)",Exclude,""
learning to optimize tensor programs,"Chen T., Zheng L., Yan E., Jiang Z., Moreau T., Ceze L., Guestrin C., Krishnamurthy A., Learning to optimize tensor programs, Advances in Neural Information Processing Systems, pp. 3389-3400, (2018)",Exclude,""
node2vec: scalable feature learning for networks. proceedings of the 22nd acm sigkdd international conference on knowledge discovery and data mining,"Grover A., Leskovec J., node2vec: scalable feature learning for networks. Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Exclude,""
tracking pointers with path and context sensitivity for bug detection in c programs,"Benjamin Livshits V., Lam M.S., Tracking pointers with path and context sensitivity for bug detection in C programs, Proceedings of the 9th European software engineering conference held jointly with 11th ACM SIGSOFT international symposium on Foundations of software engineering, pp. 317-326, (2003)",Include,Include
general data protection regulation,General data protection regulation,Exclude,""
) is there a “golden” feature set for static warning identification?: an experimental evaluation,"Wang J., Wang S., Wang Q., ) Is there a “golden” feature set for static warning identification?: An experimental evaluation, In: Proceedings of the 12Th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM ’18)., (2018)",Exclude,""
predicting cyber risks through national vulnerability database,"Zhang S., Ou X., Caragea D., Predicting cyber risks through National Vulnerability Database, Inf. Secur. J., Global Perspective, 24, 4-6, pp. 194-206, (2015)",Exclude,""
literature review on vulnerability detection using nlp technology. corr abs/2104.11230,"Wu J., Literature review on vulnerability detection using NLP technology. CoRR abs/2104.11230, 2021",Exclude,""
flow-sensitive pointer analysis for millions of lines of code,"Hardekopf B., Lin C., Flow-sensitive pointer analysis for millions of lines of code, Proceedings of the 9th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO’11), pp. 289-298, (2011)",Include,Include
detecting integer overfow errors in java source code via machine learning,"Luo Y., Xu W., Xu D., Detecting Integer Overfow Errors in Java Source Code via Machine Learning, 2021 IEEE 33rd International Conference on Tools with Artifcial Intelligence (ICTAI), pp. 724-728, (2021)",Include,Exclude
unsupervised learning of sentence embeddings using compositional n-gram features,"Pagliardini M., Gupta P., Jaggi M., Unsupervised learning of sentence embeddings using compositional n-gram features, Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers), pp. 528-540, (2018)",Exclude,""
rule-based detection of design patterns in program code,"Alnusair A., Zhao T., Yan G., Rule-based detection of design patterns in program code, Int. J. Softw. Tools Technol. Transf., 16, 3, pp. 315-334, (2014)",Exclude,""
interprocedural path-sensitive resource leaks detection for c programs,"Ji X., Yang J., Xu J., Feng L., Li X., Interprocedural path-sensitive resource leaks detection for c programs, Proceedings of the Fourth Asia-Pacific Symposium on Internetware, Internetware 2012, pp. 191-199, (2012)",Exclude,""
deepfix: fixing common c language errors by deep learning,"Gupta R., Pal S., Kanade A., Shevade S., DeepFix: Fixing Common C Language Errors by Deep Learning, Proceedings of the AAAI, pp. 1345-1351, (2017)",Include,Exclude
contest 1027c-military problem,Contest 1027C-Military Problem,Exclude,""
enabling code transformations with fermat on simplified bytecode,"Pracner D., Budimac Z., Enabling code transformations with fermat on simplified bytecode, J Softw Evol Process, 29, 5, (2017)",Exclude,""
sentencepiece: a simple and language independent subword tokenizer and detokenizer for neural text processing,"Kudo T., Richardson J., SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing, Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations., pp. 66-71, (2018)",Exclude,""
using k-core decomposition on class dependency networks to improve bug prediction model's practical performance,"Qu Y., Zheng Q., Chi J., Jin Y., He A., Cui D., Zhang H., Liu T., Using K-core decomposition on class dependency networks to improve bug prediction model's practical performance, IEEE Trans. Softw. Eng., 47, 2, pp. 348-366, (2019)",Include,Exclude
source code quality classification based on software metrics,"Vytovtov P., Markov E., Source code quality classification based on software metrics, FRUCT, 20",Exclude,""
on the use of dependabot security pull requests,"Alfadel M., Costa D.E., Shihab E., Mkhallalati M., On the Use of Dependabot Security Pull Requests, IEEE/ACM 18th International Conference on Mining Software Repositories (MSR), pp. 254-265, (2021)",Exclude,""
a convolutional attention network for extreme summarization of source code,"Allamanis M., Peng H., Sutton C., A Convolutional Attention Network for Extreme Summarization of Source Code, Proceedings of the International Conference on Machine Learning, (2016)",Exclude,""
a convolutional neural network for language-agnostic source code summarization,"Moore J., Gelman B., Slater D., A convolutional neural network for language-Agnostic source code summarization, Proceedings of the 14th International Conference on Evaluation of Novel Approaches to Software Engineering, 1, pp. 15-26, (2019)",Exclude,""
hypercomplex graph collaborative filtering,"Li A., Yang B., Huo H., Hussain F., Hypercomplex Graph Collaborative Filtering, WWW, pp. 1914-1922, (2022)",Exclude,""
the comparison ofword embedding techniques in rnns for vulnerability detection,"Ngoc Nguyen H., Teerakanok S., Inomata A., Uehara T., The Comparison ofWord Embedding Techniques in RNNs for Vulnerability Detection, ICISSP, pp. 109-120, (2021)",Exclude,""
cpgva: code property graph based vulnerability analysis by deep learning,"Xiaomeng W., Tao Z., Runpu W., Wei X., Changyu H., Cpgva: Code property graph based vulnerability analysis by deep learning, 2018 10th International Conference on Advanced Infocomm Technology (ICAIT), pp. 184-188, (2018)",Include,Include
visualizing textual redundancy in legacy source,"Howard Johnson J., Visualizing textual redundancy in legacy source, Proceedings of the 1994 Conference of the Centre for Advanced Studies on Collaborative Research (CASCON’94), (1994)",Exclude,""
national vulnerability database (nvd),The National Vulnerability Database (NVD),Exclude,""
a survey of loss functions for semantic segmentation,"Jadon S., A survey of loss functions for semantic segmentation, 2020 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB), (2020)",Exclude,""
labelencoder,"LabelEncoder, (2011)",Include,""
2018. multi-task learning using uncertainty to weigh losses for scene geometry and semantics,"Kendall A., Gal Y., Cipolla R., 2018. Multi-Task learning using uncertainty to weigh losses for scene geometry and semantics, Proceedings of the Ieee Conference on Computer Vision and Pattern Recognition, pp. 7482-7491",Exclude,""
the seahorn verification framework,"Gurfinkel A., Kahsai T., Komuravelli A., Navas J.A., The SeaHorn verification framework, CAV, LNCS, 9206, pp. 343-361, (2015)",Exclude,""
securetf: a secure tensorflow framework,"Quoc D.L., Gregor F., Arnautov S., Kunkel R., Bhatotia P., Fetzer C., secureTF: a secure tensorflow framework, (2021)",Exclude,""
gan-enabled code embedding for reentrant vulnerabilities detection,"Zhao H., Su P., Wei Y., Gai K., Qiu M., Gan-enabled code embedding for reentrant vulnerabilities detection, Knowledge Science, Engineering and Management, pp. 585-597, (2021)",Include,Exclude
nltk: the natural language toolkit in proceedings of the acl 2004 on interactive poster and demonstration sessions,"Steven B., NLTK: The Natural Language Toolkit in Proceedings of The ACL 2004 on Interactive Poster and Demonstration Sessions, (2004)",Exclude,""
where should the bugs be fixed?-more accurate information retrieval-based bug localization based on bug reports,"Zhou J., Zhang H., Lo D., Where should the bugs be fixed?-more accurate information retrieval-based bug localization based on bug reports, pp. 14-24, (2012)",Exclude,""
a low-cost approximate minimal hitting set algorithm and its application to model-based diagnosis,"A low-cost approximate minimal hitting set algorithm and its application to model-based diagnosis, Proceedings of the Eight Symposium on Abstraction, Reformulation, and Approximation., (2009)",Exclude,""
an efficient framework for learning sentence representations,"Logeswaran L., Honglak L., An efficient framework for learning sentence representations, (2018)",Exclude,""
