Title,Full Reference
sorry ma'am you didn't win $43m-there was a slot machine 'malfunction',"Kravets D., Sorry Ma'am You Didn't Win $43M-There Was A Slot Machine 'malfunction', (2017)"
search-driven string constraint solving for vulnerability detection[c],"Thome J., Shar L.K., Bianculli D., Et al., Search-driven string constraint solving for vulnerability detection[C], 2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE). IEEE, pp. 198-208, (2017)"
pycp: an open-source conformal predictions toolkit,"Balasubramanian V.N., Baker A., Yanez M., Chakraborty S., Panchanathan S., Pycp: An open-source conformal predictions toolkit, Proc. Ifip Int. Conf. Artif. Intell. Appl. Innov, pp. 361-370, (2013)"
algorithmic stability and sanity-check bounds for leave-one-out cross-validation,"Kearns M., Ron D., Algorithmic stability and sanity-check bounds for leave-one-out cross-validation, Neural Comput, 11, 6, pp. 1427-1453, (1999)"
neural network-based graph embedding for cross-platform binary code similarity detection [c],"Xu X., Liu C., Feng Q., Et al., Neural network-based graph embedding for cross-platform binary code similarity detection [C], Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security., pp. 363-376, (2017)"
understanding exception-related bugs in large-scale cloud systems,"Chen H., Dou W., Jiang Y., Qin F., Understanding exception-related bugs in large-scale cloud systems, ASE, pp. 339-351, (2019)"
cwe list version 3.1,"CWE List Version 3.1, (2018)"
analysis of the automl challenge series 2015-2018,"Guyon I., Sun-Hosoya L., Boulle M., Jair Escalante H., Escalera S., Liu Z., Jajetic D., Ray B., Saeed M., Sebag M., Statnikov A., Tu W., Viegas E., Analysis of the AutoML Challenge series 2015-2018, AutoML, (2019)"
improving continuous integration with similarity-based test case selection,"de Oliveira Neto F.G., Ahmad A., Leifler O., Sandahl K., Enoiu E., Improving continuous integration with similarity-based test case selection, Proceedings of the 13Th International Workshop on Automation of Software Test, pp. 39-45, (2018)"
learning to represent edits,"Yin P., Neubig G., Allamanis M., Brockschmidt M., Gaunt A.L., Learning to Represent Edits, International Conference on Learning Representations, (2019)"
walklets: multiscale graph embeddings for interpretable network classification,"Perozzi B., Kulkarni V., Skiena S., Walklets: Multiscale Graph Embeddings for Interpretable Network Classification, (2016)"
ast-trans: code summarization with efficient tree-structured attention,"Tang Z., Shen X., Li C., Ge J., Huang L., Zhu Z., Luo B., AST-trans: Code summarization with efficient tree-structured attention, 44th IEEE/ACM 44th International Conference on Software Engineering, ICSE 2022, pp. 150-162, (2022)"
pangr: a behavior-based automatic vulnerability detection and exploitation framework,"Liu D., Wang J., Rong Z., Mi X., Gai F., Tang Y., Wang B., Pangr: a behavior-based automatic vulnerability detection and exploitation framework, 2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE), pp. 705-712, (2018)"
) clang 12 documentation,") Clang 12 Documentation, (2021)"
facenet: a unified embedding for face recognition and clustering,"Schroff F., Kalenichenko D., Philbin J., Facenet: A unified embedding for face recognition and clustering, Proceedings of the IEEE conference on computer vision and pattern recognition, (2015)"
all you ever wanted to know about dynamic taint analysis and forward symbolic execution (but might have been afraid to ask),"Schwartz E.J., Avgerinos T., Brumley D., All you ever wanted to know about dynamic taint analysis and forward symbolic execution (but might have been afraid to ask), Proceedings-IEEE Symposium on Security and Privacy, pp. 317-331, (2010)"
execute this! analyzing unsafe and malicious dynamic code loading in android applications,"Poeplau S., Fratantonio Y., Bianchi A., Kruegel C., Vigna G., Execute this! analyzing unsafe and malicious dynamic code loading in android applications, NDSS, (2014)"
applying the abc metric to c,"Fitzpatrick J., Applying the ABC metric to C, C++, and Java, Proc. More C++ Gems, pp. 245-264, (2000)"
economic impact of cybercrime-no slowing down report,"Lewis J., Economic Impact of Cybercrime-No Slowing down Report, (2018)"
on the effectiveness of manual and automatic unit test generation: ten years later,"Serra D., Grano G., Palomba F., Ferrucci F., Gall H.C., Bacchelli A., On the Effectiveness of Manual and Automatic Unit Test Generation: Ten Years Later, 2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR), pp. 121-125, (2019)"
the analytic hierarchy process: planning,"Saaty T.L., The Analytic Hierarchy Process: Planning, Priority Setting, Resources Allocation, (1980)"
deepwalk: online learning of social representations,"Perozzi B., Al-Rfou R., Skiena S., Deepwalk: online learning of social representations, Proceedings of the 20th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, pp. 701-710, (2014)"
a model for spectra-based software diagnosis,"Naish L., Lee H., Ramamohanarao K., A model for spectra-based software diagnosis, Journal of the ACM Transactions on Software Engineering and Methodology, 20, 3, (2011)"
latent predictor networks for code generation,"Ling W., Blunsom P., Grefenstette E., Hermann K.M., Kocisky T., Wang F., Senior A., Latent predictor networks for code generation, Proceedings of the 54Th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), 1, pp. 599-609, (2016)"
instruction2vec: efficient preprocessor of assembly code to detect software weakness with cnn[j],"Lee Y., Kwon H., Choi S.H., Et al., Instruction2vec: Efficient preprocessor of assembly code to detect software weakness with CNN[J], Applied Sciences, 9, 19, (2019)"
an empirical study of architectural decay in open-source software,"Le D.M., Link D., Shahbazian A., Medvidovic N., An empirical study of architectural decay in open-source software, IEEE International Conference on Software Architecture, ICSA 2018, Seattle, WA, USA, April 30 - May 4, 2018, pp. 176-185, (2018)"
neural collaborative filtering,"He X., Liao L., Zhang H., Nie L., Hu X., Chua T.S., Neural collaborative filtering, Proceedings of the 26Th International Conference on World Wide Web, pp. 173-182, (2017)"
mining temporal specifications for error detection,"Weimer W., Necula G.C., Mining temporal specifications for error detection, TACAS, pp. 461-476, (2005)"
deep just-intime defect localization,"Qiu F., Gao Z., Xia X., Lo D., Grundy J., Wang X., Deep just-intime defect localization, IEEE Transactions on Software Engineering, (2021)"
separating style and content with bilinear models,"Tenenbaum J.B., Freeman W.T., Separating style and content with bilinear models, Neural Computation, 12, 6, pp. 1247-1283, (2000)"
classification of source code solutions based on the solved programming tasks,"Pinter A., Szenasi S., Classification of source code solutions based on the solved programming tasks, 2018 IEEE 18th International Symposium on Computational Intelligence and Informatics (CINTI)., pp. 277-282, (2018)"
dialogue learning with human teaching and feedback in end-to-end trainable task-oriented dialogue systems,"Liu B., Tur G., Hakkani-Tur D., Shah P., Heck L., Dialogue learning with human teaching and feedback in end-to-end trainable task-oriented dialogue systems, NAACL, (2018)"
avoiding javascript scoping pitfalls,"Sotomayor L., Avoiding javascript scoping pitfalls, (2022)"
cyber-guided deep neural network for malicious repository detection in github,"Zhang Y., Fan Y., Hou S., Ye Y., Xiao X., Li P., Shi C., Zhao L., Xu S., Cyber-Guided Deep Neural Network For Malicious Repository Detection In Github, 2020 IEEE International Conference on Knowledge Graph (ICKG), pp. 458-465, (2020)"
a general path-based representation for predicting program properties.,"Alon U., Zilberstein M., Levy O., A general path-based representation for predicting program properties., (2018)"
appdna: profiling app behavior via deep-learning on function call graphs,"Li A., Xue S., Li X., Zhang L., Qian J., Appdna: Profiling app behavior via deep-learning on function call graphs, IEEE Transactions on Emerging Topics in Computing, (2020)"
gg-nns reference implementation,"gg-nns reference implementation, (2020)"
nist: national vulnerability database.,"NIST: National Vulnerability Database., (2021)"
on the” naturalness” of buggy code,"Ray B., Hellendoorn V., Godhane S., Tu Z., Bacchelli A., Devanbu P., On the” naturalness” of buggy code, 2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE), pp. 428-439, (2016)"
debugging: finding,"Fitzgerald S., Lewandowski G., McCauley R., Murphy L., Simon B., Thomas L., Zander C., Debugging: finding, fixing and flailing, a multi-institutional study of novice debuggers, Computer Science Education, (2008)"
dropout vs.batch normalization: an empirical study of their impact to deep learning,"Garbin C., Zhu X., Marques O., Dropout vs.batch normalization: an empirical study of their impact to deep learning, Multimedia Tools Appl., 79, 19-20, pp. 12777-12815, (2020)"
round robin classification,"Furnkranz J., Round robin classification, J. Mach. Learn. Res., 2, pp. 721-747, (2002)"
results of the competition,"Beyer D., Results of the Competition, (2018)"
performance and participation in open source software on github,"McDonald N., Goggins S., Performance and participation in open source software on github, CHI, pp. 139-144, (2013)"
an empirical study of rule-based and learning-based approaches for static application security testing,"Croft R., Newlands D., Chen Z., Ali Babar M., An Empirical Study of Rule-Based and Learning-Based Approaches for Static Application Security Testing, Proceedings of the 15th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)., pp. 1-12, (2021)"
discovering bug patterns in javascript,"Hanam Q., De Brito F.M.S., Mesbah A., Discovering bug patterns in Javascript, Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering., pp. 144-156, (2016)"
coda: an end-to-end neural program decompiler,"Fu C., Chen H., Liu H., Chen X., Tian Y., Koushanfar F., Zhao J., Coda: An end-to-end neural program decompiler, Advances in Neural Information Processing Systems 32: Annual Conference on Neural Information Processing Systems 2019, pp. 3703-3714, (2019)"
jsac: a novel framework to detect malicious javascript via cnns over ast and cfg,"Liang H., Yang Y., Sun L., Jiang L., JSAC: a novel framework to detect malicious javascript via CNNs over AST and CFG, 2019 International Joint Conference on Neural Networks (IJCNN), pp. 1-8, (2019)"
when do changes induce fixes?,"Sliwerski J., Zimmermann T., Zeller A., When do changes induce fixes?, Proceedings Of The 2005 International Workshop On Mining Software Repositories, St. Louis, Missouri, MSR ’05, pp. 1-5, (2005)"
neural software vulnerability analysis using rich intermediate graph representations of programs,"Ghaffarian S.M., Shahriari H.R., Neural software vulnerability analysis using rich intermediate graph representations of programs, Information Sciences, 553, pp. 189-207, (2021)"
injecting mechanical faults to localize developer faults for evolving software,"Zhang L., Zhang L., Khurshid S., Injecting mechanical faults to localize developer faults for evolving software, Proceedings of the 2013 ACM SIGPLAN International Conference on Object Oriented Programming Systems Languages & Applications, OOPSLA '13, pp. 765-784, (2013)"
cpachecker with sequential combination of explicit-state analysis and predicate analysis—(competition contribution),"Wendler P., CPAchecker with sequential combination of explicit-state analysis and predicate analysis—(Competition Contribution), TACAS, LNCS, 7795, pp. 613-615, (2013)"
adaptive control processes.,"Bellman R.E., Adaptive Control Processes., (2015)"
are mutation scores correlated with real fault detection?: a large scale empirical study on the relationship between mutants and real faults,"Papadakis M., Shin D., Yoo S., Bae D., Are mutation scores correlated with real fault detection?: A large scale empirical study on the relationship between mutants and real faults, Proceedings of the 40th International Conference on Software Engineering, ICSE 2018, Gothenburg, Sweden, May 27 - June 03, 2018, pp. 537-548, (2018)"
identification of extract method refactoring opportunities,"Tsantalis N., Chatzigeorgiou A., Identification of extract method refactoring opportunities for the decomposition of methods, Journal of Systems and Software, 84, pp. 1757-1782, (2011)"
improving neural language models with a continuous cache,"Grave E., Joulin A., Usunier N., Improving neural language models with a continuous cache, (2016)"
tucker tensor decomposition-based tracking and gaussian mixture model for anomaly localisation and detection in surveillance videos,"Ratre A., Pankajakshan V., Tucker tensor decomposition-based tracking and gaussian mixture model for anomaly localisation and detection in surveillance videos, IET Comput Vision, 12, 6, pp. 933-940, (2018)"
supervised feature extraction for tensor objects based on maximization of mutual information,"Jukic A., Filipovic M., Supervised feature extraction for tensor objects based on maximization of mutual information, Pattern Recognit. Lett., 34, 13, pp. 1476-1484, (2013)"
a commit messages-based bug localization for android applications,"Zhang T., Wenjun H., Luo X., Ma X., A commit messages-based bug localization for android applications, Int J Softw En Knowledge Eng, 29, 4, pp. 457-487, (2019)"
methodological approaches at phd and skills sought for research posts in academia: a mismatch?,"WILES R., DURRANT G., BROE S. D., POWELL J., Methodological approaches at PhD and skills sought for research posts in academia: A mismatch?, International Journal of Social Research Methodology, 12, 3, pp. 257-269, (2009)"
code property graph-joern documentation,"Code Property Graph-Joern Documentation, (2021)"
bridging semantic gaps between natural languages and apis with word embedding,"Li X., Jiang H., Kamei Y., Chen X., Bridging semantic gaps between natural languages and apis with word embedding, IEEE Transactions on Software Engineering, (2018)"
a systematic literature review on the use of deep learning in software engineering re-search,"Watson C., Cooper N., Palacio D.N., Et al., A Systematic Literature Review on the Use of Deep Learning in Software Engineering Re-search"
pesco: predicting sequential combinations of verifiers (competition contribution),"Richter C., Wehrheim H., PeSCo: Predicting sequential combinations of verifiers (competition contribution), TACAS, LNCS, 11429, pp. 229-233, (2019)"
combining deep learning with information retrieval to localize buggy files for bug reports (n),"Lam A.N., Nguyen A.T., Nguyen H.A., Nguyen T.N., Combining deep learning with information retrieval to localize buggy files for bug reports (n), 2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 476-481, (2015)"
neural-machine-translation-based commit message generation: how far are we?,"Liu Zhongxin, Xia Xin, Hassan Ahmed E, Lo David, Xing Zhenchang, Wang Xinyu, Neural-machine-translation-based commit message generation: how far are we?, Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering, pp. 373-384, (2018)"
maintaining mental models: a study of developer work habits,"LaToza T.D., Venolia G., DeLine R., Maintaining mental models: A study of developer work habits, Proc. 28th Int. Conf. Softw. Eng, pp. 492-501, (2006)"
relational collaborative filtering: modeling multiple item relations for recommendation,"Xin X., He X., Zhang Y., Zhang Y., Jose J., Relational collaborative filtering: Modeling multiple item relations for recommendation, Proceedings of the 42Nd International ACM SIGIR Conference on Research and Development in Information Retrieval, pp. 125-134, (2019)"
automatic identification of key classes in a software system using webmining techniques,"Zaidman A., Demeyer S., Automatic identification of key classes in a software system using webmining techniques, J. Softw. Maintenance Res. Pract., 20, 6, pp. 387-417, (2008)"
api.susi.ai—software and rules for personal assistants,"api.susi.ai—software and Rules for Personal Assistants, (2018)"
an empirical study on evolution of api documentation,"Shi L., Zhong H., Xie T., Li M., An empirical study on evolution of API documentation, Proc. Int. Conf. Fundam. Approaches Softw. Eng., Springer, pp. 416-431, (2011)"
representing programs with dependency and function call graphs for learning hierarchical embeddings,"Romanov V., Ivanov V., Succi G., Representing programs with dependency and function call graphs for learning hierarchical embeddings, ICEIS, 2, pp. 360-366, (2020)"
building program vector representations for deep learning,"Mou L., Li G., Liu Y., Peng H., Jin Z., Xu Y., Zhang L., Building Program Vector Representations for Deep Learning, (2014)"
action word prediction for neural source code summarization,"Haque S., Bansal A., Wu L., McMillan C., Action word prediction for neural source code summarization, 2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER). IEEE, pp. 330-341, (2021)"
2021 path-sensitive sparse analysis without path conditions,"Shi Q., Yao P., Wu R., Zhang C., 2021 path-sensitive sparse analysis without path conditions, Proceedings of the 42nd ACM SIGPLAN International Conference on Programming Language Design and Implementation (PLDI ?21). ACM, pp. 930-943"
using network analysis for recommendation of central software classes,"Steidl D., Hummel B., Jurgens E., Using network analysis for recommendation of central software classes, Proc. 19th Work. Conf. Reverse Eng., pp. 93-102, (2012)"
"2013. ""mining source code repositories at massive scale using language modeling","Allamanis M., Sutton C., 2013. ""mining source code repositories at massive scale using language modeling, Proceedings of the 10th Ieee Working Conference on Mining Software Repositories Ieee Cs, pp. 207-216, (2013)"
managing technical debt in enterprise software packages,"Ramasubbu N., Kemerer C.F., Managing technical debt in enterprise software packages, IEEE Trans. Softw. Eng., 40, 8, pp. 758-772, (2014)"
where is the bug and how is it fixed? an experiment with practitioners,"Bohme M., Soremekun E.O., Chattopadhyay S., Ugherughe E., Zeller A., Where is the bug and how is it fixed? An experiment with practitioners, Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering, ESEC/FSE 2017, pp. 117-128, (2017)"
sk p: a neural program corrector for moocs,"Pu Y., Narasimhan K., Solar-Lezama A., Barzilay R., sk p: a neural program corrector for moocs, SPLASH Companion, (2016)"
bert: pre-training of deep bidirectional transformers for language understanding. arxiv preprint arxiv,"Devlin J., Chang M.W., Lee K., Toutanova K., BERT: Pre-Training of Deep Bidirectional Transformers for Language Understanding. Arxiv Preprint Arxiv, 1810, (2018)"
dynamine: finding common error patterns by mining software revision histories,"Livshits B., Zimmermann T., Dynamine: finding common error patterns by mining software revision histories, ACM SIGSOFT Software Engineering Notes, 30, 5, pp. 296-305, (2005)"
how does student behaviour change approaching dropout? a study of gender and school year differences,"MCBROOM J., KOPRINSKA I., YACEF K., How does student behaviour change approaching dropout? A study of gender and school year differences, Proceedings of the 13th International Conference on Educational Data Mining, pp. 643-647, (2020)"
code-based vulnerability detection in node.js applications: how far are we?,"Chinthanet B., Ponta S.E., Plate H., Sabetta A., Kula R.G., Ishio T., Matsumoto K., Code-based vulnerability detection in node.js applications: how far are we?, pp. 1199-1203, (2020)"
auto-encoding variational bayes,"Kingma D.P., Welling M., Auto-encoding variational bayes, Proceedings of the 2nd International Conference on Learning Representations, ICLR 2014, (2014)"
tensor decompositions for signal processing applications: from two-way to multiway component analysis,"Cichocki A., Mandic D.P., Tensor decompositions for signal processing applications: from two-way to multiway component analysis, IEEE Signal Process Mag, 32, 2, pp. 145-163, (2015)"
learning dynamical systems in a stationary environment,"CAMPI M., KUMAR P., Learning dynamical systems in a stationary environment, Systems & Control Letters, 34, 3, pp. 125-132, (1998)"
using graph-based program characterization for predictive modeling,"Park E., Cavazos J., Alvarez M.A., Using graph-based program characterization for predictive modeling, Proceedings of the Tenth International Symposium on Code Generation and Optimization, pp. 196-206, (2012)"
a new algorithm for the calculation of transitive dependences,"Livadas P.E., Croll S., A new algorithm for the calculation of transitive dependences, Journal of Software Maintenance: Research and Practice, 7, 3, pp. 151-176, (1995)"
rouge: a package for automatic evaluation of summaries,"Lin C.Y., ROUGE: A Package for Automatic Evaluation of Summaries, Proceedings of the ACL Workshop: Text Summarization Braches Out 2004, pp. 74-81, (2004)"
nist software assurance reference dataset project,"NIST Software Assurance Reference Dataset Project, (2019)"
evaluation of a data-driven feedback algorithm for open-ended programming,"PRICE T., ZHI R., BARNES T., Evaluation of a data-driven feedback algorithm for open-ended programming, Proceedings of the 10th International Conference on Educational Data Mining, pp. 192-197, (2017)"
grammar variational autoencoder,"KUSNER M. J., PAIGE B., HERNANDEZ-LOBATO J. M., Grammar variational autoencoder, Proceedings of the 34th International Conference on Machine Learning, pp. 1945-1954, (2017)"
automatic generation of pull request descriptions,"Liu Z., Xia X., Treude C., Lo D., Li S., Automatic generation of pull request descriptions, 34th IEEE/ACM International Conference on Automated Software Engineering. IEEE, pp. 176-188, (2019)"
control flow graph embedding based on multi-instance decomposition for bug localization,"Control flow graph embedding based on multi-instance decomposition for bug localization, Proceedings of the 34Th AAAI Conference on Artificial Intelligence, Volume 34, pp. 4223-4230, (2020)"
privacy preserving text representation learning,"Beigi G., Shu K., Guo R., Wang S., Liu H., Privacy preserving text representation learning, pp. 275-276, (2019)"
on learning meaningful assert statements for unit test cases,"Watson C., Tufano M., Moran K., Bavota G., Poshyvanyk D., On learning meaningful assert statements for unit test cases, International Conference on Software Engineering. ACM, pp. 1398-1409, (2020)"
on the use of relevance feedback in ir-based concept location,"Gay G., Haiduc S., Marcus A., Menzies T., On the use of relevance feedback in ir-based concept location, In 2009 IEEE International Conference on Software Maintenance, pp. 351-360, (2009)"
leveraging developer information for efficient effort-aware bug prediction,"Qu Y., Chi J., Yin H., Leveraging developer information for efficient effort-aware bug prediction, Inf. Softw. Technol., 137, (2021)"
bag constrained structure pattern mining for multi-graph classification,"Jia W., Zhu X., Zhang C., Philip S.Y., Bag constrained structure pattern mining for multi-graph classification, IEEE Trans Knowl Data Eng, 26, 10, pp. 2382-2396, (2014)"
spoc: search-based pseudocode to code,"Kulal S., Pasupat P., Chandra K., Lee M., Padon O., Aiken A., Liang P., Spoc: Search-based pseudocode to code, NeurIPS, (2019)"
training deep code comment generation models via data augmentation,"Zhang X., Zhou Y., Han T., Chen T., Training deep code comment generation models via data augmentation, Proceedings of the 12th Asia-Pacific Symposium on Internetware, pp. 185-188, (2020)"
debugging method names,"Host E.W., Ostvold B.M., Debugging method names, European Conference on Object-Oriented Programming, pp. 294-317, (2009)"
learning recommenders for implicit feedback with importance resampling,"Chen J., Lian D., Jin B., Zheng K., Chen E., Learning Recommenders for Implicit Feedback with Importance Resampling, WWW, pp. 1997-2005, (2022)"
byte pair encoding: a text compression scheme that accelerates pattern matching,"Shibata Yusuxke, Kida Takuya, Fukamachi Shuichi, Takeda Masayuki, Shinohara Ayumi, Shinohara Takeshi, Arikawa Setsuo, Byte pair encoding: A text compression scheme that accelerates pattern matching, (1999)"
visual semantic reasoning for image-text matching,"Li K., Zhang Y., Li K., Li Y., Fu Y., Visual semantic reasoning for image-text matching, Proceedings of the IEEE/CVF international conference on computer vision, pp. 4654-4662, (2019)"
scminer: localizing system-level concurrency faults from large system call traces,"Shaila Zaman T., Han X., Yu T., SCMiner: Localizing system-level concurrency faults from large system call traces, 2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE). 515-526, (2019)"
a self-attentional neural architecture for code completion with multi-task learning,"Liu F., Li G., Wei B., Xia X., Fu Z., Jin Z., A self-attentional neural architecture for code completion with multi-task learning, Proc. 28th Int. Conf. Prog. Comprehension, pp. 37-47, (2020)"
on predictive accuracy and risk minimization in pairwise label ranking,"Hullermeier E., Furnkranz J., On predictive accuracy and risk minimization in pairwise label ranking, J. Comput. Syst. Sci., 76, 1, pp. 49-62, (2010)"
can developer-module networks predict failures?,"Pinzger M., Nagappan N., Murphy B., Can developer-module networks predict failures?, Proc. 16th Acm Sigsoft Int. Symp. Found. Softw. Eng., pp. 2-12, (2008)"
just-in-time defect identification and localization: a two-phase framework,"Yan M., Xia X., Fan Y., Hassan A.E., Lo D., Li S., Just-in-time defect identification and localization: A two-phase framework, IEEE Transactions on Software Engineering, 48, 1, pp. 82-101, (2022)"
learning long-term dependencies with gradient descent is difficult,"Bengio Y., Simard P.Y., Frasconi P., Learning long-term dependencies with gradient descent is difficult, IEEE Trans. Neural Networks, 5, 2, pp. 157-166, (1994)"
the anatomy of a large-scale hypertextual web search engine,"Brin S., Page L., The anatomy of a large-scale hypertextual web search engine, Comput. Netw., 30, 1-7, pp. 107-117, (1998)"
predicting defective lines using a model-agnostic technique,"Wattanakriengkrai S., Thongtanunam P., Tantithamthavorn C., Hata H., Matsumoto K., Predicting Defective Lines Using a Model-Agnostic Technique, IEEE Transactions on Software Engineering, 1, (2020)"
autostyle: toward coding style feedback at scale,"CHOUDHURY R. R., YIN H., MOGHADAM J., FOX A., Autostyle: Toward coding style feedback at scale, Proceedings of the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing Companion, pp. 21-24, (2016)"
virus propagation and patch distribution in multiplex networks: modeling,"Zhao D., Wang L., Wang Z., Et al., Virus propagation and patch distribution in multiplex networks: modeling, analysis, and optimal allocation, IEEE Trans. Inf. Forensics Secur., 14, 7, pp. 1755-1767, (2018)"
fault localization with nearest neighbor queries,"Fault localization with nearest neighbor queries, In Proceedings of International Conference on Automated Software Engineering., (2003)"
evosuite: automatic test suite generation for object-oriented software,"Fraser G., Arcuri A., EvoSuite: Automatic test suite generation for object-oriented software, Proceedings of the 19th ACM SIGSOFT Symposium and the 13th European Conference on Foundations of Software Engineering, pp. 416-419, (2011)"
can an old fashioned feature extraction and a light-weight model improve vulnerability type identification performance?,"Vo H.D., Nguyen S., Can an old fashioned feature extraction and a light-weight model improve vulnerability type identification performance?, Information and Software Technology, 164, (2023)"
neural embeddings of graphs in hyperbolic space,"Chamberlain B.P., Clough J., Deisenroth M.P., Neural Embeddings of Graphs in Hyperbolic Space, (2017)"
re-labeling imagenet: from single to multi-labels,"Yun S., Oh S.J., Heo B., Han D., Choe J., Chun S., Re-labeling imagenet: from single to multi-labels, from global to localized labels, pp. 2340-2350, (2021)"
characterizing the natural language descriptions in software logging statements,"He P., Chen Z., He S., Lyu M.R., Characterizing the natural language descriptions in software logging statements, 2018 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE). 178-189, (2018)"
contractward: automated vulnerability detection models for ethereum smart contracts,"Wang W., Song J., Xu G., Li Y., Wang H., Su C., ContractWard: Automated vulnerability detection models for ethereum smart contracts, IEEE Transactions on Network Science and Engineering, 8, 2, pp. 1133-1144, (2020)"
pydriller: python framework for mining software repositories,"Spadini D., Aniche M., Bacchelli A., PyDriller: Python framework for mining software repositories, Foundations of Software Engineering. ACM, pp. 908-911, (2018)"
from ui design image to gui skeleton: a neural machine translator to bootstrap mobile gui implementation,"Chen C., Su T., Meng G., Xing Z., Liu Y., From ui design image to gui skeleton: A neural machine translator to bootstrap mobile gui implementation, ICSE, pp. 665-676, (2018)"
riemannian svrg: fast stochastic optimization on riemannian manifolds,"Zhang H., Reddi S.J., Sra S., Riemannian SVRG: Fast Stochastic Optimization on Riemannian Manifolds, Proceedings of the Advances in Neural Information Processing Systems, (2016)"
attention is all you need,"Vaswani A., Shazeer N., Parmar N., Et al., Attention is all you need, Advances in Neural Information Processing Systems 30: Annual Conference on Neural Information Processing Systems, pp. 5998-6008, (2017)"
discriminative embeddings of latent variable models for structured data,"Dai H., Dai B., Song L., Discriminative embeddings of latent variable models for structured data, Proceedings of The 33rd International Conference on Machine Learning, ser. Proceedings of Machine Learning Research, 48, pp. 2702-2711, (2016)"
p-mart: pattern-like micro architecture repository,"Gueheneuc Y.G., P-MARt: Pattern-like Micro Architecture Repository, (2007)"
how about bug-triggering paths? understanding and characterizing learning-based vulnerability detectors,"Cheng X., Nie X., Li N., Wang H., Zheng Z., Sui Y., How about bug-triggering paths? Understanding and characterizing learning-based vulnerability detectors, IEEE Trans Dependable Secure Comput, 14, 8, pp. 1-18, (2022)"
quantifying performance changes with effect size confidence intervals,"Kalibera T., Jones R., Quantifying Performance Changes with Effect Size Confidence Intervals, (2020)"
icomment: bugs or bad comments?,"Tan L., Yuan D., Krishna G., Zhou Y., icomment: Bugs or bad comments?, Proc. 21st ACM Symp. Operating Syst. Princ., pp. 145-158, (2007)"
comparison of svm and some older classification algorithms in text classification tasks,"Colas F., Brazdil P., Comparison of SVM and some older classification algorithms in text classification tasks, Artificial Intelligence In Theory And Practice, Vol. 217, pp. 169-178, (2006)"
prioritizing maintainability defects based on refactoring recommendations,"Steidl D., Eder S., Prioritizing maintainability defects based on refactoring recommendations, 22nd International Conference on Program Comprehension, pp. 168-176, (2014)"
sampling in software engineering research: a critical review and guidelines,"Baltes S., Ralph P., Sampling in software engineering research: A critical review and guidelines, EMSE, 94, 27, (2022)"
deep learning on code with an unbounded vocabulary,"Cvitkovic M., Singh B., Anandkumar A., Deep learning on code with an unbounded vocabulary, CAV, (2018)"
aspect-level drug reviews sentiment analysis based on double bigru and knowledge transfer,"Han Y., Liu M., Jing W., Aspect-level drug reviews sentiment analysis based on double BiGRU and knowledge transfer, IEEE Access, 8, pp. 21314-21325, (2020)"
nvd analysis 2022: a call to action on software supply chain security,"NVD Analysis 2022: A Call to Action on Software Supply Chain Security, (2022)"
codes: mining source code descriptions from developers discussions,"Vassallo C., Panichella S., Di Penta M., Canfora G., Codes: Mining source code descriptions from developers discussions, Proceedings of the 22nd International Conference on Program Comprehension, pp. 106-109, (2014)"
a novel co-evolutionary approach to automatic software bug fixing,"Arcuri A., Yao X., A novel co-evolutionary approach to automatic software bug fixing, Evolutionary Computation, pp. 162-168, (2008)"
large-scale identification of malicious singleton files,"Li B., Roundy K., Gates C., Vorobeychik Y., Large-scale identification of malicious singleton files, Proceedings of the Seventh ACM on Conference on Data and Application Security and Privacy, pp. 227-238, (2017)"
evaluating network embedding techniques’ performances in software bug prediction,"Qu Y., Yin H., Evaluating network embedding techniques’ performances in software bug prediction, Empir. Softw. Eng., 26, 4, pp. 1-44, (2021)"
"an initial exploration of the ""good first issue"" label for newcomer developers","Willem David Alderliesten J., Zaidman A., An Initial Exploration of the ""Good First Issue"" Label for Newcomer Developers, CHASE, pp. 117-118, (2021)"
modeling and discovering vulnerabilities with code property graphs,"Yamaguchi F., Golde N., Arp D., Rieck K., Modeling and discovering vulnerabilities with code property graphs, Proc. IEEE Symp. Secur. Privacy, pp. 590-604, (2014)"
